number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
25	185	Carlitos Anderson	Cincinnati, OH	G	73	carlitos-anderson-1	0.0 Pts, 1.0 Reb, 0.5 Ast		SR
2	230	Kwan Cheatham	Cincinnati, OH	F	81	kwan-cheatham-1	9.9 Pts, 6.5 Reb, 1.8 Ast	Winton Woods	SR
31	200	Ty Dalton	Houston, TX	G	76	ty-dalton-1			FR
11	155	Tavian Dunn-Martin	Huntington, WV	G	68	tavian-dunn-martin-1	6.1 Pts, 1.3 Reb, 1.3 Ast		FR
5	190	Craig Eubanks	Cleveland, OH	F	76	craig-eubanks-1	2.0 Pts, 0.3 Reb, 0.0 Ast		JR
21	265	Michael Hughes	Liberty, MO	C	81	michael-hughes-2	2.2 Pts, 1.5 Reb, 0.4 Ast		FR
	185	Jimond Ivey	Cleveland, OH	G	76	jimond-ivey-1	10.5 Pts, 5.7 Reb, 2.1 Ast		SO
10	215	Aaron Jackson	Gahanna, OH	G	80	aaron-jackson-2	4.1 Pts, 2.6 Reb, 0.5 Ast	Gahanna Lincoln HS	JR
55	160	Antino Jackson	Houston, TX	G	71	antino-jackson-1	9.9 Pts, 2.3 Reb, 2.3 Ast	Cypress Springs	JR
23	290	Isaiah Johnson	Cincinnati, OH	C	82	isaiah-johnson-1	14.9 Pts, 7.3 Reb, 3.6 Ast	Walnut Hills HS	SR
12	175	Marquelle McIntyre	Greensboro, NC	G	70	marquelle-mcintyre-1	0.3 Pts, 0.8 Reb, 0.3 Ast		FR
20	170	Mark Noble	Akron, OH	G	74	mark-noble-1	0.5 Pts, 0.0 Reb, 0.0 Ast	Manchester	SR
22	190	Emmanuel Olojakpoke	Houston, TX	F	80	emmanuel-olojakpoke-1	2.3 Pts, 1.6 Reb, 0.0 Ast		FR
14	165	Noah Robotham	Las Vegas, NV	G	73	noah-robotham-1	10.1 Pts, 1.8 Reb, 2.3 Ast	Bishop Gorman	JR
3	215	Daniel Utomi	Houston, TX	F	78	daniel-utomi-1	2.8 Pts, 0.7 Reb, 0.2 Ast		FR
1	185	Josh Williams	Akron, OH	G	74	josh-williams-5	8.5 Pts, 2.5 Reb, 1.1 Ast		SO
