number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
50	215	Seth Adelsperger	Peru, IN	C	83	seth-adelsperger-1	1.3 Pts, 1.3 Reb, 0.0 Ast		FR
20	185	Taylor Barnette	Lexington, KY	G	75	taylor-barnette-1	11.6 Pts, 2.9 Reb, 1.9 Ast	Lexington Christian	SR
24	195	Michael Benkert	Greenwood, IN	G	76	michael-benkert-1	1.0 Pts, 0.5 Reb, 0.3 Ast	Center Grove HS	FR
35	205	Evan Bradds	Jamestown, OH	F	79	evan-bradds-1	19.4 Pts, 8.7 Reb, 2.8 Ast	Greeneview HS	SR
32	215	Amanze Egekeze	Lake In The H, IL	F	80	amanze-egekeze-1	10.9 Pts, 5.5 Reb, 1.0 Ast	Huntley HS	JR
41	240	Tyler Hadden	Cincinnati, OH	C	82	tyler-hadden-1	1.5 Pts, 0.8 Reb, 0.2 Ast	St. Xavier HS	JR
14	155	Nick Hopkins	Fayetteville, TN	G	71	nick-hopkins-1			FR
31	225	Josh Lester	Antioch, TN	F	78	josh-lester-1	0.2 Pts, 0.3 Reb, 0.2 Ast	Brentwood Academy	JR
1	185	Austin Luke	Rowlett, TX	G	75	austin-luke-1	7.3 Pts, 3.2 Reb, 7.2 Ast	Rowlett HS	JR
11	180	Kevin McClain	Jennings, FL	G	74	kevin-mcclain-1	5.7 Pts, 1.0 Reb, 1.2 Ast		SO
25	225	Mack Mercer	Plymouth, IN	F	81	mack-mercer-1		Plymouth HS	JR
21	195	Burton Sampson	Knoxville, TN	G	76	burton-sampson-1	0.4 Pts, 1.4 Reb, 0.5 Ast	The Webb School	JR
2	215	Nick Smith	Bentonville, AR	F	80	nick-smith-3	8.9 Pts, 1.5 Reb, 0.4 Ast	Bentonville HS	SR
3	185	Dylan Windler	Indianapolis, IN	G	79	dylan-windler-1	9.2 Pts, 6.7 Reb, 1.5 Ast		SO
