number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
	182	Ky Bowman	Havelock, NC	G	73	ky-bowman-1	12.4 Pts, 3.7 Reb, 2.6 Ast		FR
25	190	Jordan Chatman	Vancouver, WA	G	77	jordan-chatman-1	6.6 Pts, 2.1 Reb, 0.9 Ast	Union HS	SO
22	180	Matt DiLuccio		G	71	matt-diluccio-1			
20	220	Gordon Gehan	Dallas, TX	G	77	gordon-gehan-1	0.0 Pts, 0.0 Reb, 0.0 Ast		SO
14	195	Aser Ghebremichael	Somerville, MA	F	80	aser-ghebremichael-1	0.0 Pts, 0.0 Reb, 0.0 Ast		SO
3	165	Ty Graves	Greensboro, NC	G	72	ty-graves-1	4.8 Pts, 0.9 Reb, 1.6 Ast		FR
15	240	Mo Jeffers	Washington, DC	F	81	mo-jeffers-1	5.5 Pts, 6.2 Reb, 0.6 Ast		SR
10	218	Ervins Meznieks	Riga, Latvia	F	79	ervin-meznieks-1	0.0 Pts, 0.0 Reb, 0.0 Ast		SO
5	210	Garland Owens	Gaithersburg, MD	F	77	garland-owens-1	2.2 Pts, 2.5 Reb, 1.1 Ast	Magruder HS	SR
	243	Nik Popovic		F	83	nik-popovic-1	6.6 Pts, 3.7 Reb, 0.5 Ast		FR
12	216	Johncarlos Reyes	Lawrenceville, GA	C	82	johncarlos-reyes-1	1.5 Pts, 1.4 Reb, 0.2 Ast		FR
1	181	Jerome Robinson	Raleigh, NC	G	79	jerome-robinson-2	20.6 Pts, 4.8 Reb, 3.0 Ast	Needham Broughton HS	SO
23	200	Mike Sagay	Bloomfield, CT	F	79	mike-sagay-1	3.3 Pts, 0.8 Reb, 0.0 Ast		FR
2	235	Connar Tava	Macomb, MI	F	78	connar-tava-1	6.4 Pts, 5.8 Reb, 2.5 Ast	Warren De La Salle HS	SR
11	190	A.J. Turner	Mount Clemens, MI	F	79	aj-turner-1	10.2 Pts, 4.0 Reb, 4.1 Ast		SO
