number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
23	198	Jabari Bird	Vallejo, CA	G	78	jabari-bird-1	14.3 Pts, 5.0 Reb, 0.9 Ast	Salesian HS	SR
10	167	Brandon Chauca	Alexandria, VA	G	70	brandon-chauca-1		22 Feet Academy	JR
14	192	Don Coleman	Augusta, GA	G	75	don-coleman-1	3.7 Pts, 1.6 Reb, 0.9 Ast		SO
25	190	Roman Davis	Carson, CA	F	79	roman-davis-1	1.1 Pts, 0.6 Reb, 0.0 Ast	Windward HS	FR
31	210	Stephen Domingo	San Francisco, CA	G	79	stephen-domingo-1	2.1 Pts, 2.4 Reb, 0.7 Ast	St. Ignatius	SR
21	185	Nick Hamilton	Inglewood, CA	G	76	nick-hamilton-1	0.6 Pts, 0.4 Reb, 0.2 Ast	Westchester HS	JR
20	200	Derek King	Shanghai, China	G	75	derek-king-1			JR
30	182	Koko Kurdoghlian	La Canada, CA	G	74	koko-kurdoghlian-1	0.3 Pts, 0.0 Reb, 0.0 Ast		FR
15	225	Marcus Lee	Antioch, CA	F	83	marcus-lee-2		Deer Valley HS	SR
13	175	Charlie Moore	Chicago, IL	G	72	charlie-moore-1	15.3 Pts, 1.9 Reb, 3.3 Ast		FR
12	207	Roger Moute a Bidias	Yaounde, Cameroon	F	78	roger-moute-a-bidias-1	4.8 Pts, 2.9 Reb, 0.5 Ast	Notre Dame Prep (MA)	SR
3	175	Grant Mullins	Ontario, Canada	G	75	grant-mullins-1	9.7 Pts, 3.3 Reb, 1.8 Ast	Notre Dame HS	SR
	254	Kingsley Okoroh	Derby, United Kingdom	C	85	kingsley-okorah-1	5.4 Pts, 6.9 Reb, 1.1 Ast	Westwind Prep	JR
1	220	Ivan Rabb	Oakland, CA	F	83	ivan-rabb-1	15.3 Pts, 11.0 Reb, 1.8 Ast	Bishop O'Dowd HS	SO
44	261	Kameron Rooks	San Marcos, CA	C	84	kameron-rooks-1	5.2 Pts, 5.4 Reb, 0.4 Ast	Mission Hills HS	JR
2	204	Sam Singer	Miami, FL	G	76	sam-singer-1	6.3 Pts, 4.0 Reb, 2.7 Ast	Ransom Everglades HS	SR
42	204	Cole Welle	Aptos, CA	F	79	cole-welle-1	2.3 Pts, 1.1 Reb, 0.0 Ast	Aptos HS	JR
