number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
10	190	Quinton Adlesh	Arroyo Grande, CA	G	72	quinton-adlesh-1	5.7 Pts, 1.8 Reb, 2.8 Ast	Mission College Prep	SO
21	190	Peter Barba	Chagrin Falls, OH	G	77	peter-barba-1	0.8 Pts, 1.0 Reb, 0.4 Ast	Western Reserve Academy	SO
0	195	Kyle Castlin	Marietta, GA	G	76	kyle-castlin-1		Hillgrove HS	JR
1	220	Jeff Coby	Pembroke Pines, FL	F	80	jeff-coby-1	6.8 Pts, 4.5 Reb, 0.5 Ast	Choate Rosemary Hall	SR
5	170	C.J. Davis	Far Rockaway, NY	G	74	cj-davis-1	3.4 Pts, 1.4 Reb, 1.8 Ast	Westwind Prep Academy	SO
41	253	Shane Eberle	Woodbine, MD	C	82	shane-eberle-1			SO
22	175	Nate Hickman	Newark, DE	G	76	nate-hickman-1	14.1 Pts, 2.8 Reb, 1.7 Ast	The Peddie School	JR
4	185	Rodney Hunter	Cape Coral, FL	G	77	rodney-hunter-1	2.7 Pts, 2.1 Reb, 0.8 Ast	Mariner (FL)	SO
14	155	Kendall Jackson	Union City, CA	G	68	kendall-jackson-1	0.9 Pts, 0.8 Reb, 0.4 Ast	Suffield Academy	SR
20	205	Jake Killingsworth	San Carlos, CA	G	77	jake-killingsworth-1	3.9 Pts, 2.2 Reb, 1.0 Ast		FR
32	235	Chris McComber	Ontario, Canada	F	80	chris-mccomber-1	3.4 Pts, 1.1 Reb, 0.8 Ast	John McCrae Secondary	SR
11	210	Lukas Meisner	Braunschweig, Germany	F	80	lukas-meisner-1	6.8 Pts, 5.4 Reb, 0.9 Ast	IGS Franzsches Feld (Germany)	SO
2	194	Andrew Panayiotou	British Columbia, Canada	F	79	andrew-panayiotou-1	2.2 Pts, 0.6 Reb, 0.4 Ast		FR
33	215	Luke Petrasek	East Northport, NY	F	82	luke-petrasek-1	14.6 Pts, 6.9 Reb, 2.4 Ast	Northport HS	SR
24	195	John Sica	Delmar, NY	F	79	john-sica-1	0.2 Pts, 1.0 Reb, 0.4 Ast		SO
12	179	Mike Smith	Burr Ridge, IL	G	70	mike-smith-9	12.5 Pts, 1.7 Reb, 3.4 Ast		FR
3	220	Patrick Tape	Matthews, NC	F	82	patrick-tape-1	3.9 Pts, 3.7 Reb, 0.1 Ast		FR
52	250	Conor Voss	Saint Cloud, MN	C	85	conor-voss-1	1.8 Pts, 1.1 Reb, 0.3 Ast	St. Cloud Cathedral HS	SR
