number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
23	185	Ore Arogundade	Chicago, IL	G	75	ore-arogundade-1	5.9 Pts, 3.2 Reb, 0.9 Ast	St. Viator HS	JR
25	230	Johannes Dolven	Oslo, Norway	F	80	johannes-dolven-1	1.0 Pts, 0.8 Reb, 0.0 Ast		FR
11	251	Jacob Enevold	Lunderskov, Denmark	C	84	jacob-jensen-1	2.4 Pts, 2.4 Reb, 0.3 Ast	Falkonergardens Gymnasium	SR
24	180	Nick Girardi	Fort Collins, CO	G	76	nick-girardi-1			FR
21	200	Will Halfon	Greenwood Village, CO	G	74	will-halfon-1			FR
32	232	Kory Kuenstling	Dunkerton, IA	F	83	kory-kuenstling-1	2.6 Pts, 2.9 Reb, 0.2 Ast	Dunkerton HS	SO
35	223	Nick McGlynn	Stoughton, WI	F	80	nick-mcglynn-1	5.8 Pts, 3.5 Reb, 0.3 Ast	Stoughton HS	SO
4	170	De'Antae McMurray	Alton, IL	G	74	deantae-mcmurray-1	8.2 Pts, 2.3 Reb, 3.4 Ast		JR
	186	C.J. Rivers	Cahokia, IL	G	74	cj-rivers-1	4.5 Pts, 3.7 Reb, 1.7 Ast	Cahokia HS	JR
14	170	A.J. Rutter	Ames, IA	G	73	aj-rutter-1	2.0 Pts, 0.0 Reb, 0.0 Ast	Glibert	JR
22	207	Casey Schlatter	Iowa Falls, IA	F	82	casey-schlatter-1	4.2 Pts, 2.9 Reb, 1.4 Ast	Alden HS	SO
10	205	T.J. Thomas	Stone Mountain, GA	F	80	tj-thomas-2	5.9 Pts, 4.7 Reb, 1.0 Ast		JR
12	185	Reed Timmer	New Berlin, WI	G	73	reed-timmer-1	15.9 Pts, 3.0 Reb, 1.7 Ast	Eisenhower HS	JR
2	200	Billy Wampler	Eau Claire, WI	F	78	billy-wampler-1	12.5 Pts, 2.9 Reb, 1.0 Ast	Regis HS	SO
3	178	Graham Woodward	Edina, MN	G	72	graham-woodward-1	5.5 Pts, 1.7 Reb, 2.3 Ast	Edina	JR
