number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
32	200	Kent Auslander	Herndon, VA	G	78	kent-auslander-1		Herndon HS	SO
	230	Ivan Bender	Caplijina, Bosnia and Herzegovina	F	81	ivan-bender-1	4.4 Pts, 3.5 Reb, 0.9 Ast		SO
1	170	Jaylen Brantley	Springfield, MA	G	71	jaylen-brantley-1	5.2 Pts, 2.3 Reb, 1.1 Ast	Notre Dame Prep	JR
15	235	Michal Cekovsky	Kosice, Slovakia	F	85	michal-cekovsky-1	10.0 Pts, 3.8 Reb, 0.7 Ast	Canarias Academy	JR
	170	Anthony Cowan	Bowie, MD	G	73	anthony-cowan-1	10.4 Pts, 4.3 Reb, 3.8 Ast		FR
35	245	Damonte Dodd	Centreville, MD	F	83	damonte-dodd-1	6.9 Pts, 5.0 Reb, 0.3 Ast	Massanutten Military Academy	SR
10	210	L.G. Gill	Chesterfield, VA	F	79	lg-gill-1	3.4 Pts, 2.5 Reb, 0.3 Ast	Benedictine College Prep HS	SR
4	190	Kevin Huerter	Clifton Park, NY	G	79	kevin-huerter-1	8.0 Pts, 4.8 Reb, 1.9 Ast		FR
21	225	Justin Jackson	Ontario, Canada	F	79	justin-jackson-5	10.8 Pts, 5.9 Reb, 0.8 Ast		FR
11	200	Jared Nickens	Monmouth Junction, NJ	G	79	jared-nickens-1	3.3 Pts, 1.3 Reb, 0.4 Ast	Westtown	JR
24	190	Andrew Terrell	Indianapolis, IN	G	70	andrew-terrell-1	0.0 Pts, 0.0 Reb, 0.4 Ast	Brebeuf Jesuit HS	SO
23	195	Micah Thomas	Memphis, TN	F	79	micah-thomas-1			FR
33	220	Joshua Tomaic	Canary Islands, Spain	F	81	joshua-tomaic-1			FR
2	190	Melo Trimble	Upper Marlboro, MD	G	75	melo-trimble-1	17.5 Pts, 3.4 Reb, 2.9 Ast	Bishop O'Connell HS	JR
20	175	Travis Valmon	Rockville, MD	G	73	travis-valmon-1	0.4 Pts, 0.4 Reb, 0.0 Ast		FR
5	210	Dion Wiley	Oxon Hill, MD	G	76	dion-wiley-1	4.6 Pts, 1.9 Reb, 0.8 Ast	Potomac HS	SO
