number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
21	195	Ron Alston	Alexandria, VA	F	78	ron-alston-2	2.0 Pts, 1.5 Reb, 0.4 Ast		FR
34	235	Mohamed Bendary	Jersey City, NJ	F	81	mohamed-bendary-1	1.7 Pts, 1.8 Reb, 0.3 Ast	St. Anthony's HS	SO
2	210	Tim Coleman	Union, NJ	G	77	tim-coleman-2	13.2 Pts, 7.7 Reb, 2.6 Ast	St. Anthony's HS	SR
11	150	Shyquan Gibbs	Hillside, NJ	G	73	shyquan-gibbs-1	1.7 Pts, 1.1 Reb, 1.1 Ast		FR
32	165	Donovan Greer	Houston, TX	G	75	donovan-greer-1			SO
23	230	Osa Izevbuwa	Staten Island, NY	G	75	osa-izevbuwa-1	5.9 Pts, 2.1 Reb, 0.4 Ast	McKee	SR
3	215	Chris Jenkins	Hillside, NJ	F	76	chris-jenkins-2	6.4 Pts, 1.2 Reb, 0.5 Ast	Gill St. Bernard's	JR
	225	Abdul Lewis	Newark, NJ	F	81	abdul-lewis-1	7.1 Pts, 7.6 Reb, 1.4 Ast	Newark East Side	SO
5	165	Damon Lynn	Hillside, NJ	G	71	damon-lynn-1	21.1 Pts, 2.1 Reb, 3.8 Ast	Union Catholic HS	SR
13	185	James McMillon	Newark, NJ	G	73	james-mcmillon-1	2.0 Pts, 0.0 Reb, 0.0 Ast	Science Park HS	JR
1	210	Taj Price	Newark, NJ	F	79	taj-price-1	2.8 Pts, 1.9 Reb, 0.4 Ast		FR
12	205	Anthony Tarke	Gaithersburg, MD	F	78	anthony-tarke-1	6.5 Pts, 4.4 Reb, 0.8 Ast		FR
25	210	Rob Ukawuba	East Brunswick, NJ	G	75	rob-ukawuba-1	7.9 Pts, 4.1 Reb, 2.1 Ast	East Brunswick HS	SR
14	180	Reilly Walsh	Staten Island, NY	G	75	reilly-walsh-1	2.0 Pts, 1.9 Reb, 0.6 Ast	St. Peter's Boys HS	SO
