number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
23	190	Aaric Armstead	Chicago, IL	G	77	aaric-armstead-1	10.6 Pts, 5.8 Reb, 1.7 Ast	La Jolla Prep (CA)	SR
42	200	Levi Bradley	Milwaukee, WI	F	79	levi-bradley-1	6.9 Pts, 4.5 Reb, 0.5 Ast		SO
21	252	Sean Damaska	Milton, GA	C	79	sean-damaska-1	2.5 Pts, 2.0 Reb, 0.3 Ast		SR
10	165	Eugene German	Gary, IN	G	72	eugene-german-1	5.4 Pts, 1.3 Reb, 0.6 Ast		FR
3	200	Dontel Highsmith	Dowagiac, MI	G	74	dontel-highsmith-1	8.8 Pts, 2.5 Reb, 1.3 Ast	Dowagiac HS	SR
4	230	Lacey James	Grand Rapids, MI	F	81	lacey-james-1			SO
15	220	Jaylen Key	Milwaukee, WI	F	80	jaylen-key-1	8.7 Pts, 5.5 Reb, 0.8 Ast		SO
34	250	Marin Maric	Split, Croatia	C	82	marin-maric-1	13.3 Pts, 6.5 Reb, 1.1 Ast	La Lumiere School (IN)	SR
11	210	Noah McCarty	Rock Falls, IL	F	79	noah-mccarty-1	1.8 Pts, 2.8 Reb, 0.5 Ast		FR
31	210	Austin Pauga	Naperville, IL	G	78	austin-pauga-1	2.3 Pts, 1.0 Reb, 0.5 Ast		SO
2	185	Laytwan Porter	Rockford, IL	G	74	laytwan-porter-1	8.8 Pts, 2.7 Reb, 2.5 Ast		SO
33	195	Jon Siu	Hong Kong, Hong Kong	G	77	jon-siu-1			SO
5	180	Justin Thomas	Indianapolis, IN	G	71	justin-thomas-4	5.2 Pts, 1.8 Reb, 1.1 Ast		FR
30	190	Nick Wagner	Galesville, WI	G	75	nick-wagner-1			FR
	190	Marshawn Wilson	Oakdale, MN	G	74	marshawn-wilson-1	5.1 Pts, 1.9 Reb, 1.2 Ast	Hill-Murray (MN)	SO
32	255	Andrew Zelis	Wheaton, IL	C	84	andrew-zelis-1		Wheaton North	SR
