number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
23	191	Jordan Ashton	Mount Pleasant, IA	G	76	jordan-ashton-1	7.3 Pts, 3.5 Reb, 1.1 Ast	Mount Pleasant (IA)	SR
24	172	Isaiah Brown	Flower Mound, TX	G	77	isaiah-brown-1	3.9 Pts, 1.7 Reb, 0.3 Ast		FR
2	225	Klint Carlson	Waverly, IA	F	79	klint-carlson-1	7.4 Pts, 4.3 Reb, 2.1 Ast	Waverly-Shell Rock HS	JR
12	230	Lincoln Conrey	Waterloo, IA	F	79	lincoln-conrey-1	0.5 Pts, 0.0 Reb, 0.3 Ast	Waterloo West HS	FR
15	250	Justin Dahl	Carver, MN	C	83	justin-dahl-1	2.7 Pts, 1.7 Reb, 0.1 Ast	Holy Family HS	FR
5	180	Rafael de Souza	Sao Paulo, Brazil	G	73	rafael-desouza-1	0.0 Pts, 0.0 Reb, 0.2 Ast		JR
3	245	Ted Friedman	Ankeny, IA	C	81	ted-friedman-1	0.9 Pts, 1.6 Reb, 0.3 Ast	Ankeny HS	JR
30	170	Spencer Haldeman	Peosta, IA	G	73	spencer-haldeman-1	8.7 Pts, 2.0 Reb, 0.9 Ast	Western Dubuque HS	FR
25	232	Bennett Koch	Ashwaubenon, WI	F	81	bennett-koch-1	8.2 Pts, 2.1 Reb, 0.2 Ast	Ashwaubenon HS	JR
22	205	Tanner Lohaus	North Liberty, IA	F	79	tanner-lohaus-1			FR
33	185	Wyatt Lohaus	North Liberty, IA	G	74	wyatt-lohaus-1	4.5 Pts, 2.2 Reb, 0.3 Ast	Iowa City West HS	JR
13	173	Juwan McCloud	Germantown, WI	G	71	juwan-mccloud-1	4.9 Pts, 1.2 Reb, 1.6 Ast		FR
1	190	Adam McDermott	Cedar Rapids, IA	G	76	adam-mcdermott-1		Xavier HS	SO
34	210	Luke McDonnell	Dubuque, IA	F	81	luke-mcdonnell-1	2.1 Pts, 1.9 Reb, 0.1 Ast	Dubuque Senior HS	FR
20	192	Jeremy Morgan	Coralville, IA	G	77	jeremy-morgan-1	16.7 Pts, 6.9 Reb, 3.2 Ast	Iowa City West HS	SR
21	175	Hunter Rhodes	Canton, IL	G	73	hunter-rhodes-1	3.2 Pts, 1.1 Reb, 0.8 Ast		JR
