number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
33	190	Keita Bates-Diop	Normal, IL	F	79	keita-bates-diop-1	9.7 Pts, 5.2 Reb, 1.3 Ast	University HS	JR
10	214	David Bell	Cleveland, OH	C	82	david-bell-3	1.4 Pts, 2.5 Reb, 0.1 Ast	Garfield Heights HS	SO
4	205	Derek Funderburk	Lakewood, OH	F	81	derek-funderburk-1			FR
3	175	C.J. Jackson	Charlotte, NC	G	73	cj-jackson-1	3.7 Pts, 1.7 Reb, 3.3 Ast		SO
23	185	Jimmy Jent	Columbus, OH	G	76	jimmy-jent-1	0.8 Pts, 1.0 Reb, 0.0 Ast		SO
14	175	Joey Lane	Deerfield, IL	G	73	joey-lane-1	1.8 Pts, 0.5 Reb, 0.0 Ast	Deerfield HS	SO
2	215	Marc Loving	Toledo, OH	F	79	marc-loving-1	11.7 Pts, 5.0 Reb, 1.9 Ast	St. John Jesuit HS	SR
13	230	JaQuan Lyle	Evansville, IN	G	77	jaquan-lyle-1	11.6 Pts, 3.3 Reb, 5.6 Ast		SO
	240	Micah Potter	Mentor, OH	C	81	micah-potter-1	4.4 Pts, 3.8 Reb, 0.2 Ast		FR
1	190	Jae'Sean Tate	Pickerington, OH	F	76	jaesean-tate-1	14.1 Pts, 6.5 Reb, 1.7 Ast	Pickerington Central	JR
32	210	Trevor Thompson	Indianapolis, IN	C	83	trevor-thompson-1	10.4 Pts, 8.7 Reb, 0.5 Ast	St. John's Northwestern Military Academy	JR
24	220	Andre Wesson	Westerville, OH	F	78	andre-wesson-1	1.8 Pts, 1.4 Reb, 0.3 Ast		FR
15	175	Kam Williams	Baltimore, MD	G	74	kam-williams-1	10.7 Pts, 2.0 Reb, 0.6 Ast	Mount St. Joseph's HS	JR
