number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
	200	Bryce Canda	Portland, OR	G	76	bryce-canda-1	11.1 Pts, 5.1 Reb, 2.1 Ast		JR
10	175	Daniel Davydov	Bellevue, WA	G	72	daniel-davydov-1			SO
30	225	Traylin Farris	Pearland, TX	C	80	traylin-farris-1	10.5 Pts, 5.5 Reb, 0.8 Ast	Manvel	JR
1	180	Zach Gengler	Silverton, OR	G	74	zach-gengler-1	9.2 Pts, 2.2 Reb, 3.1 Ast	Silverton HS	SR
5	180	Tyrell Henderson	Tempe, AZ	G	75	tyrell-henderson-1	0.8 Pts, 0.8 Reb, 0.5 Ast		FR
22	200	Brandon Hollins	St. Louis, MO	F	78	brandon-hollins-1	5.1 Pts, 3.0 Reb, 0.6 Ast		JR
23	185	Khari Holloway	Jackson, MS	G	74	khari-holloway-1	4.5 Pts, 0.9 Reb, 1.5 Ast		SR
34	190	Montie Leunen	Portland, OR	F	76	montie-leunen-1	0.7 Pts, 1.0 Reb, 0.6 Ast	Westview	SR
2	195	Michael Mayhew	Flower Mound, TX	G	74	michael-mayhew-1	4.4 Pts, 1.0 Reb, 0.6 Ast		SO
3	190	Deontae North	Corona, CA	G	76	deontae-north-1	11.5 Pts, 4.2 Reb, 1.7 Ast	Centennial	JR
25	205	Namdi Okonkwo	Dallas, TX	C	84	namdi-okonkwo-1			SR
13	190	De'Sean Parsons	Sacramento, CA	F	79	desean-parsons-1	11.9 Pts, 4.9 Reb, 2.9 Ast		SR
11	190	Calaen Robinson	Tempe, AZ	G	74	calaen-robinson-1	14.8 Pts, 2.5 Reb, 4.0 Ast	Corona del Sol	SR
4	235	Brendan Rumel	Tucson, AZ	F	82	brendan-rumel-1	2.4 Pts, 1.2 Reb, 0.1 Ast		FR
15	220	Braxton Tucker	Tacoma, WA	F	78	braxton-tucker-1	16.8 Pts, 5.8 Reb, 1.6 Ast	Spanaway Lake	JR
