number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
15	180	Matt Battaglia	El Dorado Hills, CA	G	73	matt-battaglia-1	1.5 Pts, 0.5 Reb, 0.3 Ast		FR
20	190	George Dancer	Modesto, CA	G	75	george-dancer-1			FR
12	185	Grant Dressler	Las Vegas, NV	F	78	grant-dressler-1	5.4 Pts, 2.5 Reb, 1.1 Ast	Palo Verde HS	SO
	180	Marcus Graves	San Diego, CA	G	72	marcus-graves-1	11.3 Pts, 3.2 Reb, 5.1 Ast	Westview HS	JR
50	240	James Herrick	Minden, NV	C	81	james-herrick-1	1.0 Pts, 0.2 Reb, 0.0 Ast	Douglas HS	JR
33	210	Nick Hornsby	Irvine, CA	F	79	nick-hornsby-1	9.9 Pts, 7.8 Reb, 1.2 Ast	Tustin HS	SR
11	165	Trevis Jackson	Santa Monica, CA	G	70	trevis-jackson-1	0.9 Pts, 0.8 Reb, 1.0 Ast	Santa Monica HS	SR
1	200	Chibueze Jacobs	Canyon Country, CA	F	76	chibueze-jacobs-1	2.0 Pts, 1.7 Reb, 0.2 Ast		FR
24	190	Izayah Mauriohooho-Le'afa	Wellington, New Zealand	G	74	izayah-mauriohoohoo-leafa-1	3.9 Pts, 2.0 Reb, 1.5 Ast		FR
30	200	Joshua Patton	Manteca, CA	F	80	joshua-patton-1	2.2 Pts, 1.3 Reb, 0.1 Ast	Sierra HS	FR
3	210	Justin Strings	Carson, CA	F	78	justin-strings-1	15.6 Pts, 6.4 Reb, 1.3 Ast	Mira Costa HS	JR
44	250	Eric Stuteville	Orangevale, CA	C	83	eric-stuteville-1	10.6 Pts, 6.4 Reb, 0.6 Ast	Casa Roble HS	SR
4	185	Jiday Ugbaja	San Francisco, CA	G	70	jidbay-ugbaja-1	3.6 Pts, 1.3 Reb, 0.5 Ast	Archbishop Riordan HS	JR
14	180	Jeff Wu	Taipei, Taiwan	G	74	jeff-wu-1	2.5 Pts, 0.7 Reb, 0.6 Ast	Modesto Christian HS	SO
