number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
3	200	Sterling Brown	Maywood, IL	G	78	sterling-brown-2	11.4 Pts, 6.6 Reb, 3.1 Ast	Proviso East HS	SR
21	205	Ben Emelogu	Grand Prairie, TX	G	77	ben-emelogu-1	4.8 Pts, 2.5 Reb, 1.8 Ast	South Grand Prairie	JR
10	200	Jarrey Foster	Houston, TX	G	77	jarrey-foster-1	9.7 Pts, 5.2 Reb, 2.3 Ast	North Shore HS	SO
	260	Harry Froling		F	83	harry-froling-1	4.3 Pts, 3.2 Reb, 0.6 Ast		FR
15	210	Leo Kontopoulos	Frankfurt, Germany	F	81	leo-kontopoulos-1	0.6 Pts, 0.0 Reb, 0.0 Ast		FR
5	185	Dashawn McDowell	Oklahoma City, OK	G	77	dashawn-mcdowell-1	1.6 Pts, 1.4 Reb, 0.5 Ast		FR
1	195	Shake Milton	Owasso, OK	G	77	malik-milton-1	11.9 Pts, 4.0 Reb, 4.1 Ast	Owasso HS	SO
	205	Ben Moore	Bolingbrook, IL	F	80	ben-moore-1	11.8 Pts, 7.6 Reb, 2.0 Ast	Bolingbrook HS	SR
33	230	Semi Ojeleye	Ottawa, KS	F	80	semi-ojeleye-1	17.8 Pts, 7.6 Reb, 1.4 Ast	Ottawa	JR
	175	James Pyle		G	75	james-pyle-1	0.0 Pts, 0.3 Reb, 0.0 Ast		
14	215	Courtland Sutton	Brenham, TX	F	76	courtland-sutton-1			SO
31	175	Jimmy Whitt	Columbia, MO	G	75	jimmy-whitt-1		Hickman HS	SO
22	185	Jonathan Wilfong	Memphis, TN	G	74	jonathan-wilfong-1	0.2 Pts, 0.5 Reb, 0.0 Ast	Memphis University School	SR
	180	Tom Wilson		G	77	tom-wilson-1	1.6 Pts, 1.0 Reb, 0.5 Ast		FR
