number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
4	195	Seth Allen	Woodbridge, VA	G	73	seth-allen-1	10.7 Pts, 2.4 Reb, 3.5 Ast	Fredericksburg Christian School	SR
10	220	Justin Bibbs	Dayton, OH	G	77	justin-bibbs-1	7.9 Pts, 2.6 Reb, 1.5 Ast	Montverde Academy (FL)	JR
24	260	Kerry Blackshear Jr.	Orlando, FL	F	82	kerry-blackshearjr-1		Maynard Evans HS	SO
15	205	Chris Clarke	Virginia Beach, VA	G	78	chris-clarke-2	12.0 Pts, 7.7 Reb, 3.6 Ast		SO
14	230	Greg Donlon	Midlothian, VA	F	80	greg-donlon-1	0.0 Pts, 0.0 Reb, 0.0 Ast	Cosby HS	SR
21	235	Nicholas Fullard	La Plata, MD	F	82	nicholas-fullard-1			JR
33	195	Matt Galloway	Sterling, VA	G	75	matt-galloway-1	0.3 Pts, 0.1 Reb, 0.0 Ast	Potomac Falls HS (VA)	SR
	230	Johnny Hamilton	Rio, IL	C	84	johnny-hamilton-1	3.7 Pts, 1.3 Reb, 0.0 Ast		SR
13	195	Ahmed Hill	Augusta, GA	G	77	ahmed-hill-1	15.5 Pts, 3.7 Reb, 1.6 Ast	Aquinas HS	JR
1	205	Tyrie Jackson	Tifton, GA	G	73	tyrie-jackson-1			FR
3	200	Seth LeDay	Dallas, TX	F	79	seth-leday-1	14.0 Pts, 7.0 Reb, 2.0 Ast		JR
32	235	Zach LeDay	Dallas, TX	F	79	zach-leday-1	16.4 Pts, 7.4 Reb, 1.4 Ast	The Colony	SR
42	215	Ty Outlaw	Roxboro, NC	G	78	ty-outlaw-1	4.3 Pts, 2.3 Reb, 0.1 Ast		JR
5	180	Justin Robinson	Manassas, VA	G	73	justin-robinson-3	11.3 Pts, 3.6 Reb, 4.6 Ast		SO
2	240	Khadim Sy	Dakar, Senegal	F	82	khadim-sy-1	5.5 Pts, 3.9 Reb, 0.3 Ast		FR
11	195	Devin Wilson	Mckees Rocks, PA	G	76	devin-wilson-2		Montour HS	SR
