number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
11	235	Nathan Adrian	Morgantown, WV	F	81	nathan-adrian-1	9.9 Pts, 6.5 Reb, 3.6 Ast	Morgantown HS	SR
23	225	Esa Ahmad	Cleveland, OH	F	80	esa-ahmad-1	12.9 Pts, 4.9 Reb, 1.5 Ast	Shaker Heights HS	SO
25	240	Maciej Bender	Warsaw, Poland	F	82	maciej-bender-1	3.0 Pts, 1.9 Reb, 0.4 Ast		FR
3	170	James Bolden	Covington, KY	G	72	james-bolden-1	4.3 Pts, 1.4 Reb, 0.4 Ast	Holmes HS	FR
2	185	Jevon Carter	Maywood, IL	G	74	jevon-carter-1	10.5 Pts, 3.3 Reb, 4.7 Ast	Proviso East HS	JR
14	200	Chase Harler	Moundsville, WV	G	75	chase-harler-1	2.3 Pts, 0.6 Reb, 0.7 Ast		FR
50	250	Sagaba Konate	Bamako, Mali	F	80	sagaba-konate-1	5.6 Pts, 3.1 Reb, 0.3 Ast		FR
13	190	James Long	Charleston, WV	G	70	james-long-1	2.2 Pts, 0.3 Reb, 0.3 Ast	Woodberry Forrest	SR
45	240	Elijah Macon	Columbus, OH	F	81	elijah-macon-1	4.7 Pts, 2.8 Reb, 0.5 Ast	Brewster Academy	JR
4	185	Daxter Miles	Baltimore, MD	G	75	daxter-miles-1	11.1 Pts, 2.2 Reb, 1.8 Ast	Notre Dame Prep	JR
	170	Teyvon Myers	Brooklyn, NY	G	74	teyvon-myers-1	7.9 Pts, 1.4 Reb, 1.5 Ast	Grover Cleveland (CA) / Boys & Girls (NY)	SR
12	185	Tarik Phillip	Brooklyn, NY	G	75	tarik-phillip-1	8.1 Pts, 2.7 Reb, 3.2 Ast	Independence CC	SR
21	250	Logan Routt	Cameron, WV	F	83	logan-routt-1	1.1 Pts, 1.2 Reb, 0.1 Ast	Cameron HS	FR
20	245	Brandon Watkins	Decatur, GA	F	81	brandon-watkins-2	7.6 Pts, 4.3 Reb, 0.4 Ast	Grady HS	SR
15	205	Lamont West	Cincinnati, OH	F	80	lamont-west-1	6.7 Pts, 2.2 Reb, 0.7 Ast	Miller Grove HS	FR
