number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
24	185	Louis Adams	Chicago, IL	G	76	louis-adams-1	6.6 Pts, 2.4 Reb, 1.2 Ast		JR
13	185	Sam Averbuck	Santa Rosa, CA	G	76	sam-averbuck-1	1.0 Pts, 0.5 Reb, 1.0 Ast		FR
21	240	Jonathan Barnes	Parker, CO	F	82	jonathan-barnes-1	1.4 Pts, 1.3 Reb, 0.0 Ast	Ponderosa HS	JR
20	185	Hayden Dalton	Parker, CO	F	80	hayden-dalton-1	12.9 Pts, 8.6 Reb, 3.0 Ast		JR
3	210	Alexander Aka Gorski	Lund, Sweden	G	77	alexander-aka-gorski-1	8.8 Pts, 2.2 Reb, 2.3 Ast	Sunrise Christian Academy	JR
5	205	Alan Herndon	Colorado Springs, CO	F	81	alan-herndon-1	10.1 Pts, 5.8 Reb, 1.0 Ast	Widefield HS	JR
1	180	Justin James	Port Saint Lucie, FL	G	79	justin-james-2	16.0 Pts, 4.7 Reb, 1.7 Ast	Oldsmar Christian HS	SO
15	220	Brodricks Jones	Los Angeles, CA	F	82	brodricks-jones-1		Lawndale HS	SO
12	180	Cody Kelley	Gillette, WY	G	71	cody-kelley-1	3.2 Pts, 1.6 Reb, 1.4 Ast		FR
11	175	Jeremy Lieberman	Calabasas, CA	G	73	jeremy-lieberman-1	3.3 Pts, 2.2 Reb, 1.8 Ast	Calabasas HS	JR
25	180	Morris Marshall	White Springs, FL	G	76	morris-marshall-1	1.9 Pts, 1.3 Reb, 0.3 Ast	Columbia HS (FL)	SR
23	195	Jason McManamen	Torrington, WY	G	77	jason-mcmanamen-1	13.5 Pts, 3.8 Reb, 2.6 Ast	Torrington HS	SR
32	210	Andrew Moemeka	Lake City, FL	F	80	andrew-moemeka-1	1.1 Pts, 2.5 Reb, 0.0 Ast	Oldsmar Christian HS	FR
14	200	Austin Mueller	Highlands Ranch, CO	F	78	austin-mueller-1			FR
33	225	Jordan Naughton	Rancho Cucamonga, CA	F	82	jordan-naughton-1	4.9 Pts, 3.7 Reb, 0.3 Ast	Etiwanda HS	SO
0	166	Nyaires Redding	Phoenix, AZ	G	74	ny-redding-1		Westwind Prep (AZ)	JR
