number	weight	playerName	hometown	pos	height	playerId	summary	class
32	200	Kory McKee	Jackson, MS	F	79	kory-mckee-1	11.6 Pts, 5.2 Reb, 0.9 Ast	JR
23	0	Clifford Washington		G	73	clifford-washington-1	7.7 Pts, 3.3 Reb, 0.9 Ast	JR
24	215	Justin Lloyd	Memphis, TN	F	79	justin-lloyd-1	7.0 Pts, 4.3 Reb, 0.2 Ast	SO
11	165	Lamarquis Blake	Palm Bay, FL	G	71	lamarquis-blake-2	7.4 Pts, 1.9 Reb, 2.1 Ast	FR
14	205	Don Fleming	Dallas, TX	F	79	don-fleming-1	10.0 Pts, 5.0 Reb, 0.4 Ast	JR
10	174	Thad Hackworth	Dallas, TX	G	74	thad-hackworth-1	5.3 Pts, 3.3 Reb, 2.0 Ast	SR
22	180	Billy Hall	Newport, AR	G	74	billy-hall-1	5.0 Pts, 1.3 Reb, 0.9 Ast	SO
21	170	Brandon Jones	Fordyce, AR	G	74	brandon-jones-2	5.0 Pts, 1.9 Reb, 1.1 Ast	SO
22	215	Charles Almond	Great Bend, KS	F	78	charles-almond-1	6.4 Pts, 3.5 Reb, 0.6 Ast	JR
25	0	Michael Balance		G	74	michael-balance-1	7.5 Pts, 2.8 Reb, 0.6 Ast	JR
25	180	Jamaal Bibles	San Antonio, TX	G	75	jamaal-bibles-1	1.5 Pts, 0.9 Reb, 0.4 Ast	FR
		Jermaine Rollins		G	74	jermaine-rollins-1	2.1 Pts, 1.1 Reb, 1.2 Ast	JR
	180	Wesley Norris	Roger, AR	G	72	wesley-norris-1	1.4 Pts, 1.3 Reb, 0.9 Ast	SR
	186	Arlondo Holder	Long Beach, CA	F	79	arlondo-holder-1	2.7 Pts, 1.8 Reb, 0.6 Ast	SO
24	180	Benjamin Culp	Long Beach, CA	F	77	benjamin-culp-1	1.4 Pts, 1.5 Reb, 0.0 Ast	SO
54	215	James Williams	Flint, MI	F	76	james-williams-6	1.0 Pts, 0.7 Reb, 0.0 Ast	SR
50	225	Corey Williams	Terrell, TX	C	79	corey-williams-4	1.0 Pts, 1.2 Reb, 0.2 Ast	JR
15	160	Michael Kendrick	Memphis, TN	G	71	michael-kendrick-1	0.5 Pts, 0.5 Reb, 0.0 Ast	SO
	0	Ryan Perry		F	77	ryan-perry-1	0.0 Pts, 1.0 Reb, 0.0 Ast	SO
