number	weight	playerName	hometown	pos	height	playerId	summary	class
11	250	Pape Sow		F	82	pape-sow-1	15.5 Pts, 8.6 Reb, 0.7 Ast	SO
25	205	Brandon Campbell	St. Louis, MO	G	77	brandon-campbell-1	11.5 Pts, 4.2 Reb, 1.5 Ast	JR
24	200	Kevin Richardson	San Bernardino, CA	G	77	kevin-richardson-1	9.3 Pts, 3.5 Reb, 2.5 Ast	SR
5	180	Derick Andrew	Rancho Cucamonga, CA	G	74	derick-andrew-1	7.0 Pts, 2.8 Reb, 3.5 Ast	SO
35	185	Ryan Dillon	Apple Valley, CA	G	75	ryan-dillon-1	6.9 Pts, 1.4 Reb, 1.1 Ast	SO
40	255	Josh Fischer	La Habra, CA	F	81	josh-fischer-1	8.7 Pts, 5.9 Reb, 0.6 Ast	SR
12	250	Babacar Camara		C	83	babacar-camara-1	4.6 Pts, 4.1 Reb, 0.3 Ast	JR
44	175	Denver Lopez	West Covina, CA	G	73	denver-lopez-1	1.6 Pts, 0.6 Reb, 1.0 Ast	SO
		Chris Alexander		G	75	chris-alexander-1	1.9 Pts, 1.0 Reb, 0.6 Ast	FR
3	185	David Castleton	Irvine, CA	G	74	david-castleton-1	2.2 Pts, 0.4 Reb, 1.2 Ast	SR
13	165	Daniel Ryan	Montclair, CA	G	72	daniel-ryan-1	0.8 Pts, 0.0 Reb, 0.0 Ast	JR
22	175	Andrew Maxie	La Puente, CA	G	76	andrew-maxie-1	0.0 Pts, 1.0 Reb, 0.7 Ast	FR
