number	weight	playerName	hometown	pos	height	playerId	summary	class
12	190	Greg Grays	Detroit, MI	G	72	greg-grays-1	17.8 Pts, 2.9 Reb, 1.9 Ast	SR
34	200	Willie Green		G	76	willie-green-1	13.7 Pts, 4.2 Reb, 1.9 Ast	JR
4	222	Terrell Riggs	Detroit, MI	F	79	terrell-riggs-1	11.3 Pts, 7.5 Reb, 1.9 Ast	JR
42	264	Marc Mazur	Clarkston, MI	C	82	marc-mazur-1	5.3 Pts, 5.5 Reb, 0.3 Ast	SR
24	179	Darius Belin	Detroit, MI	G	76	darius-belin-1	4.0 Pts, 3.4 Reb, 2.0 Ast	SR
2	210	Mike Harmon	Detroit, MI	C	83	mike-harmon-1	7.6 Pts, 5.2 Reb, 0.1 Ast	SR
1	170	Jimmy Twyman	Detroit, MI	G	72	jimmy-twyman-1	2.9 Pts, 1.3 Reb, 2.2 Ast	SO
33	250	Willie Wallace	Flint, MI	F	79	willie-wallace-1	2.7 Pts, 2.5 Reb, 0.5 Ast	SO
41	205	Thomas Dillard	Kalamazoo, MI	G	78	thomas-dillard-1	2.6 Pts, 1.3 Reb, 0.3 Ast	SO
25	185	Bernie Fuhs	Grand Rapids, MI	G	74	bernie-fuhs-1	1.6 Pts, 1.4 Reb, 1.2 Ast	JR
5	265	Mark Maxwell	Detroit, MI	F	80	mark-maxwell-1	2.1 Pts, 2.9 Reb, 0.2 Ast	SO
31	215	Hilton Napoleon	Detroit, MI	F		hilton-napoleon-1	1.6 Pts, 2.1 Reb, 0.5 Ast	JR
5	185	David Baxter	Detroit, MI	G	75	david-baxter-1	0.6 Pts, 0.4 Reb, 0.1 Ast	FR
