number	weight	playerName	hometown	pos	height	playerId	summary	class
4	215	Chris Monroe	Hyattsville, MD	G	75	chris-monroe-1	21.1 Pts, 6.1 Reb, 2.4 Ast	JR
34	191	Greg Collucci	West Palm Beach, FL	G	75	greg-collucci-1	10.4 Pts, 2.8 Reb, 1.2 Ast	SO
5	180	T.J. Thompson	Germantown, MD	G	71	tj-thompson-1	9.8 Pts, 2.6 Reb, 4.2 Ast	FR
31	200	Jason Smith	Boston, MA	F	80	jason-smith-4	9.5 Pts, 7.8 Reb, 0.7 Ast	SR
44	254	Tamal Forchion	Willingboro, NJ	F	78	tamal-forchion-1	7.7 Pts, 4.1 Reb, 0.6 Ast	FR
14	199	Darnell Miller	Bronx, NY	G	76	darnell-miller-1	4.3 Pts, 4.0 Reb, 3.9 Ast	SO
35	220	Marquin Chandler	Fremont, CA	F	78	marquin-chandler-1	6.1 Pts, 3.7 Reb, 0.4 Ast	SO
2	220	Darrio Scott	Lynchburg, VA	F	78	darrio-scott-1	3.1 Pts, 2.0 Reb, 0.2 Ast	FR
3	252	Albert Roma		C	84	albert-roma-1	1.4 Pts, 0.9 Reb, 0.1 Ast	SR
22	195	Jason Richards	Bowie, MD	G	74	jason-richards-2	1.7 Pts, 0.3 Reb, 0.0 Ast	SR
15	210	Joshua Chapman	Charlotte, NC	G	75	joshua-chapman-1	0.0 Pts, 0.5 Reb, 0.0 Ast	SO
50	230	Matija Debevec		C	83	matija-debevec-1	0.0 Pts, 0.3 Reb, 0.0 Ast	FR
21	191	Terrance Ealey	West Palm Beach, FL	G	74	terrance-ealey-1	0.0 Pts, 0.3 Reb, 0.3 Ast	SO
35	186	Lewie Helton	Cerritos, CA	G	74	lewie-helton-1	0.0 Pts, 0.3 Reb, 0.1 Ast	FR
10	215	Isaiah Pickens	Washington, DC	G	75	isaiah-pickens-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
