number	weight	playerName	hometown	pos	height	playerId	summary	class
5	240	Thomas Terrell	Brookhaven, MS	F	79	thomas-terrell-1	20.5 Pts, 7.3 Reb, 2.1 Ast	SR
30	175	Lamont McIntosh	Lithonia, GA	G	75	lamont-mcintosh-1	12.2 Pts, 3.9 Reb, 4.1 Ast	SO
32	225	Nate Williams	Chicago, IL	F	83	nate-williams-1	12.2 Pts, 6.4 Reb, 1.8 Ast	JR
1	225	Bam Campbell	Memphis, TN	G	77	bam-campbell-1	10.3 Pts, 5.6 Reb, 1.3 Ast	SR
24	200	Leroy Davis	Tuscaloosa, AL	F	77	leroy-davis-1	8.1 Pts, 3.8 Reb, 1.9 Ast	JR
12	185	Darryl Cooper	Stone Mountain, GA	G	75	darryl-cooper-1	7.0 Pts, 2.8 Reb, 2.2 Ast	JR
11	185	Cedric Patton	Huntsville, AL	F	79	cedric-patton-1	4.6 Pts, 1.4 Reb, 0.5 Ast	JR
33	200	Donnie Davis	Lawrenceville, GA	F	79	donnie-davis-1	4.2 Pts, 2.6 Reb, 0.8 Ast	SR
0	212	Kendrick Alloway	Montgomery, AL	F	80	kendrick-alloway-1	2.3 Pts, 1.5 Reb, 0.3 Ast	JR
20	230	James Gilchrist	Winter Haven, FL	F	78	james-gilchrist-1	1.9 Pts, 0.9 Reb, 0.0 Ast	SR
11	200	Bayi Handy	York, PA	G	71	bayi-handy-1	0.7 Pts, 0.8 Reb, 0.7 Ast	JR
