number	weight	playerName	hometown	pos	height	playerId	summary	class
33	230	Calvin Warner	Jacksonville, FL	F	79	calvin-warner-2	13.7 Pts, 8.2 Reb, 1.2 Ast	JR
41	190	Kevin Sheppard		G	72	kevin-sheppard-1	13.5 Pts, 3.3 Reb, 4.1 Ast	JR
3	210	Travis Robinson	Durham, NC	G	78	travis-robinson-1	14.0 Pts, 3.8 Reb, 0.5 Ast	JR
20	175	James Daniels	Port St. Joe, FL	G	75	james-daniels-2	9.8 Pts, 3.4 Reb, 1.8 Ast	JR
45	200	Antwan Robertson	New Symrna Beach, FL	F	79	antwan-robertson-1	5.2 Pts, 3.3 Reb, 0.9 Ast	JR
5	240	Tabari Brown	Pomona, CA	F	79	tabari-brown-1	5.3 Pts, 3.7 Reb, 0.2 Ast	JR
22	190	David Lee	Columbus, GA	G	75	david-lee-2	3.7 Pts, 1.0 Reb, 0.5 Ast	FR
30	225	Ryan Lewis	St. Petersburg, FL	C	81	ryan-lewis-1	3.1 Pts, 2.6 Reb, 0.2 Ast	JR
40	185	Johnny Jones	West Palm Beach, FL	F	76	johnny-jones-1	2.5 Pts, 2.2 Reb, 0.5 Ast	SR
1	180	Toby Frazier	Jacksonville, FL	G	74	toby-frazier-1	2.3 Pts, 1.4 Reb, 1.6 Ast	SR
13	220	Ali Kaba		F	80	ali-kaba-1	2.2 Pts, 5.0 Reb, 0.2 Ast	SR
42	240	Jeff Howard	Dallas, TX	C	81	jeff-howard-1	1.3 Pts, 0.8 Reb, 0.2 Ast	JR
12	180	Chip White	Venice, FL	G	74	chip-white-1	1.0 Pts, 0.3 Reb, 0.2 Ast	JR
