number	weight	playerName	hometown	pos	height	playerId	summary	class
12	190	David Fanning	Chesapeake, VA	G	72	david-fanning-1	18.0 Pts, 3.3 Reb, 1.8 Ast	JR
30	190	Dwayne Broyles	Canton, OH	F	78	dwayne-broyles-1	11.0 Pts, 4.3 Reb, 1.7 Ast	SO
32	185	Chris Williams	Wheeling, WV	G	74	chris-williams-3	8.1 Pts, 3.9 Reb, 3.7 Ast	SO
42	250	Pat Mitchell	Washington, DC	F	79	pat-mitchell-1	7.4 Pts, 6.9 Reb, 0.9 Ast	JR
51	245	Ian Caskill	Virginia Beach, VA	C	82	ian-caskill-1	5.5 Pts, 5.3 Reb, 0.8 Ast	JR
4	215	Jerian Younger	Danville, VA	F	81	jerian-younger-1	5.7 Pts, 3.3 Reb, 0.6 Ast	JR
50	235	Tim Lyle	Poca, WV	F	80	tim-lyle-1	7.3 Pts, 3.9 Reb, 0.6 Ast	SR
35	245	Kenny Whitehead	Arlington, VA	C	82	kenny-whitehead-1	4.9 Pts, 4.4 Reb, 0.1 Ast	JR
3	190	Charlie Hatter	Lyndhurst, VA	G	76	charlie-hatter-1	2.6 Pts, 1.0 Reb, 0.4 Ast	JR
15	190	Ron Anderson	Norfolk, VA	F	78	ron-anderson-3	12.8 Pts, 5.6 Reb, 0.6 Ast	SR
22	195	Daniel Freeman	Waynesboro, VA	G	72	daniel-freeman-1	2.6 Pts, 1.4 Reb, 0.7 Ast	FR
13	160	Femi Akinnagbe	Germantown, MD	G	71	femi-akinnagbe-1	1.0 Pts, 0.5 Reb, 0.0 Ast	FR
5	215	Todd Moret	Peachtree City, GA	G	77	todd-moret-1	0.4 Pts, 0.2 Reb, 0.1 Ast	FR
33	210	Robert Smith	Richmond, VA	F	78	robert-smith-3	0.0 Pts, 0.0 Reb, 0.0 Ast	SO
