number	weight	playerName	hometown	pos	height	playerId	summary	class
11	170	Larry Reid	Midwest City, OK	G	72	larry-reid-1	14.4 Pts, 2.9 Reb, 5.3 Ast	SR
44	225	Pervis Pasco	Clearwater, FL	F	81	pervis-pasco-1	12.1 Pts, 8.4 Reb, 1.1 Ast	JR
5	185	Nick Williams	Arlington, TX	G	76	nick-williams-3	9.0 Pts, 2.7 Reb, 2.5 Ast	FR
23	170	Phineas Atchison	Greenville, IL	G	73	phineas-atchison-1	8.0 Pts, 1.6 Reb, 0.9 Ast	SR
34	235	Matt Siebrandt	Reno, NV	F	80	matt-siebrandt-1	7.9 Pts, 3.8 Reb, 1.1 Ast	JR
32	210	Gilson DeJesus		G	78	gilson-dejesus-1	6.2 Pts, 3.4 Reb, 1.2 Ast	JR
5	210	Travis Reynolds	Junction City, KS	F	79	travis-reynolds-1	9.4 Pts, 6.3 Reb, 0.8 Ast	SR
3	200	Quentin Buchanan	Junction City, KS	F	80	quentin-buchanan-1	2.5 Pts, 2.4 Reb, 0.9 Ast	JR
13	225	Marcelo Da Barrosa		F	79	marcelo-da-barrosa-1	3.2 Pts, 1.7 Reb, 0.2 Ast	FR
42	210	Janerio Spurlock	Cincinnati, OH	F	78	janerio-spurlock-1	6.6 Pts, 4.0 Reb, 1.0 Ast	JR
40	255	Travis Canby	Atlanta, GA	F	83	travis-canby-1	0.9 Pts, 1.5 Reb, 0.4 Ast	FR
21	235	Ivan Sulic		F	82	ivan-sulic-1	0.5 Pts, 0.9 Reb, 0.3 Ast	SR
1	191	Marcus Hayes	Oviedo, FL	G	76	marcus-hayes-1	0.2 Pts, 0.2 Reb, 0.2 Ast	FR
