number	weight	playerName	hometown	pos	height	playerId	summary	class
4	220	Brian Lubeck	Manson, IA	F	78	brian-lubeck-1	14.5 Pts, 7.6 Reb, 1.9 Ast	SR
32	220	Kirby Lemons	Midland, TX	F	79	kirby-lemons-1	11.8 Pts, 7.2 Reb, 1.3 Ast	JR
14	225	Wojciech Myrda		C	86	wojciech-myrda-1	11.3 Pts, 7.1 Reb, 0.6 Ast	SR
24	190	Nick Coln	Corinth, MS	G	76	nick-coln-1	9.1 Pts, 1.8 Reb, 2.5 Ast	SR
5	239	Kevin Paige	Albany, GA	F	79	kevin-paige-1	6.5 Pts, 3.3 Reb, 0.8 Ast	SR
3	190	Reggie Griffin	Little Rock, AR	F	76	reggie-griffin-1	6.5 Pts, 2.6 Reb, 1.0 Ast	JR
23	200	Mark Keith	Kilbourne, LA	G	77	mark-keith-1	3.8 Pts, 1.0 Reb, 0.7 Ast	SO
10	165	Michael Hardaway	Hogansville, GA	G	71	michael-hardaway-1	4.2 Pts, 2.6 Reb, 3.3 Ast	SR
20	170	Brandon Horn	Florien, LA	G	72	brandon-horn-1	1.9 Pts, 0.7 Reb, 1.5 Ast	SO
5	170	Aaron Branch	West Monroe, LA	G	74	aaron-branch-1	1.6 Pts, 1.0 Reb, 0.6 Ast	FR
21	0	Marcus Woodham		G	71	marcus-woodham-1	1.7 Pts, 0.3 Reb, 0.3 Ast	FR
34	235	Cedric Johnson	Shreveport, LA	F	76	cedric-johnson-1	0.7 Pts, 1.2 Reb, 0.0 Ast	JR
25	190	Radoslaw Ciszkiewicz		G	77	radoslaw-ciszkiewicz-1	0.7 Pts, 0.6 Reb, 0.4 Ast	SO
44	250	Paul Dyson	Kentwood, LA	F	77	paul-dyson-1	0.8 Pts, 0.2 Reb, 0.0 Ast	FR
