number	weight	playerName	hometown	pos	height	playerId	summary	class
4	207	Lucious Jordan	Albany, NY	G	74	lucious-jordan-1	13.0 Pts, 4.3 Reb, 1.7 Ast	FR
12	220	Donovan Thomas	Ft. Lauderdale, FL	F	79	donovan-thomas-1	11.0 Pts, 5.6 Reb, 0.2 Ast	SO
11	175	B.J. Davis	New Castle, DE	G	72	bj-davis-1	10.7 Pts, 2.7 Reb, 1.6 Ast	SO
5	180	Damien Jenifer	Baltimore, MD	G	73	damien-jenifer-1	8.1 Pts, 2.6 Reb, 3.6 Ast	SR
5	238	Bernard Allen	Houston, TX	F	77	bernard-allen-1	4.6 Pts, 6.3 Reb, 0.4 Ast	FR
44	220	Lindbergh Chatman	Northport, NY	F	77	lindbergh-chatman-1	4.0 Pts, 2.3 Reb, 0.7 Ast	SO
33	235	Irakli Nijaradze		C	82	irakli-nijaradze-1	3.5 Pts, 1.6 Reb, 0.2 Ast	FR
50	250	DeLonnie Southall	Moreno Valley, CA	F	80	delonnie-southall-1	2.7 Pts, 1.8 Reb, 0.1 Ast	JR
23	165	Ryan Dickey	Media, PA	G	73	ryan-dickey-1	0.9 Pts, 0.3 Reb, 0.4 Ast	SO
52	235	Jim Chivers	Detroit Lakes, MN	F	80	jim-chivers-1	0.7 Pts, 1.5 Reb, 0.1 Ast	FR
25	250	Sean Corrigan	Hicksville, NY	F	83	sean-corrigan-1	0.7 Pts, 0.8 Reb, 0.0 Ast	FR
10	175	Dennis Desmond	Scottsdale, AZ	G	71	dennis-desmond-1	0.4 Pts, 0.8 Reb, 0.9 Ast	SO
20	185	Peter Koch	Westlake, OH	G	71	peter-koch-1	0.1 Pts, 0.1 Reb, 0.2 Ast	FR
42	180	Kyle Koch	Baltimore, MD	G	74	kyle-koch-1	0.0 Pts, 0.0 Reb, 0.0 Ast	SO
