number	weight	playerName	hometown	pos	height	playerId	summary	class
11	170	Sean Kennedy	Northport, NY	G	74	sean-kennedy-1	14.7 Pts, 5.5 Reb, 7.9 Ast	SR
30	190	Rick Smith	Bladensburg, MD	G	75	rick-smith-1	11.8 Pts, 4.6 Reb, 1.1 Ast	SR
20	190	Nick Eppehimer	Pottstown, PA	F	79	nick-eppehimer-1	11.6 Pts, 5.0 Reb, 0.8 Ast	JR
50	210	Matt Tullis	Orem, UT	F	81	matt-tullis-1	9.4 Pts, 6.0 Reb, 1.3 Ast	SR
21	190	David Bennett	Salt Lake City, UT	G	73	david-bennett-1	8.2 Pts, 1.8 Reb, 1.6 Ast	JR
0	210	Dennis Young	Warrenton, GA	F	80	dennis-young-1	6.8 Pts, 4.1 Reb, 0.5 Ast	SO
4	194	Brandon Ellerbee	Plano, TX	G	71	brandon-ellerbee-1	4.7 Pts, 1.1 Reb, 1.0 Ast	FR
32	235	Jared Hunsaker	Ephraim, UT	F	72	jared-hunsaker-1	4.0 Pts, 2.2 Reb, 0.5 Ast	SR
55	245	Steve Castleberry		C	83	steve-castleberry-1	2.4 Pts, 1.7 Reb, 0.2 Ast	FR
23	190	Anthony Walker	Boston, MA	C	80	anthony-walker-2	2.5 Pts, 0.5 Reb, 0.6 Ast	JR
40	230	Jack Watson	Dallas, TX	C	79	jack-watson-1	1.8 Pts, 2.1 Reb, 0.3 Ast	JR
5	185	Eric Sosler	Central Valley, NY	G	75	eric-sosler-1	0.8 Pts, 0.2 Reb, 0.2 Ast	SO
22	215	Brendan Copes	Windsor Locks, CT	F	76	brendan-copes-1	0.6 Pts, 0.2 Reb, 0.0 Ast	JR
