number	weight	playerName	hometown	pos	height	playerId	summary	class
44	205	Peter Mulligan	New York, NY	F	77	peter-mulligan-1	16.0 Pts, 7.8 Reb, 3.1 Ast	SO
33	240	Will McClurkin	Medford, NY	C	81	will-mcclurkin-1	11.9 Pts, 7.0 Reb, 1.1 Ast	SO
5	200	Kareem Washington	White Plains, NY	G	75	kareem-washington-1	10.0 Pts, 3.1 Reb, 2.6 Ast	JR
11	175	Justin Wilson	Brooklyn, NY	G	72	justin-wilson-2	9.0 Pts, 2.4 Reb, 2.4 Ast	JR
13	214	Ron Yates	Jamaica, NY	F	77	ron-yates-2	7.3 Pts, 3.3 Reb, 1.3 Ast	SO
14	0	Malik Wallace	Camden, NJ	G	74	malik-wallace-1	6.7 Pts, 1.8 Reb, 1.5 Ast	JR
10	185	Rob Gogerty	Cedar Grove, NJ	G	73	rob-gogerty-1	5.3 Pts, 2.3 Reb, 2.1 Ast	FR
52	250	Andrew Feeley	Scotch Plains, NJ	C	81	andrew-feeley-1	3.8 Pts, 3.6 Reb, 0.5 Ast	FR
45	235	Eugene Young	Wilmington, DE	F	79	eugene-young-1	3.6 Pts, 2.6 Reb, 0.1 Ast	SO
35	240	Andre Williams	Queens, NY	F	77	andre-williams-5	3.1 Pts, 2.6 Reb, 0.6 Ast	JR
25	195	Mike Snyder	Cranford, NJ	G	75	mike-snyder-1	0.5 Pts, 0.2 Reb, 0.0 Ast	FR
