number	weight	playerName	hometown	pos	height	playerId	summary	class
1	180	Tee Trotter	Las Cruces, NM	G	71	tee-trotter-1	16.7 Pts, 2.8 Reb, 3.2 Ast	SO
34	195	Andre Newson	Aurora, IL	G	78	andre-newson-1	8.7 Pts, 5.9 Reb, 1.1 Ast	SR
10	156	Joshua Hickman	Pocomoke, MD	G	69	joshua-hickman-1	8.0 Pts, 2.5 Reb, 2.6 Ast	SR
25	205	Justin Bowen	Chicago, IL	F	79	justin-bowen-1	7.4 Pts, 5.2 Reb, 0.5 Ast	FR
24	180	Tim Smith	Chicago, IL	G	75	tim-smith-2	7.6 Pts, 4.4 Reb, 1.9 Ast	SR
33	210	Kevin Darby	Racine, WI	G	77	kevin-darby-1	7.3 Pts, 1.8 Reb, 0.3 Ast	SR
23	160	Brent Campbell	Fort Washington, MD	G	73	brent-campbell-1	3.8 Pts, 0.8 Reb, 0.6 Ast	FR
21	180	Antoine Joiner	Hazel Crest, IL	G	77	antoine-joiner-1	2.9 Pts, 1.0 Reb, 0.4 Ast	SO
42	265	Damond Thomas	Delmar, MD	C	82	damond-thomas-1	2.8 Pts, 2.4 Reb, 0.0 Ast	SO
		Watra Banks		G	76	watra-banks-1	5.5 Pts, 3.0 Reb, 2.0 Ast	JR
44	218	Ali Trotman	Takoma Park, MD	F	78	ali-trotman-1	1.6 Pts, 2.0 Reb, 0.2 Ast	JR
21	240	Brandon Allen	Chicago, IL	F	80	brandon-allen-1	1.4 Pts, 2.5 Reb, 0.2 Ast	FR
3	165	Ka'Reem Horton	Roxbury, MA	G	76	kareem-horton-1	5.2 Pts, 1.8 Reb, 0.8 Ast	JR
30	235	Mohammad N'Diaye		C	80	mohammad-ndiaye-1	1.5 Pts, 2.2 Reb, 0.2 Ast	SR
5	160	Lawrence Smith	Landover, MD	G	71	lawrence-smith-1	0.3 Pts, 0.2 Reb, 0.1 Ast	SO
