number	weight	playerName	hometown	pos	height	playerId	summary	class
32	215	Curtis King	Philadelphia, PA	F	79	curtis-king-1	13.2 Pts, 5.9 Reb, 1.4 Ast	SR
23	185	Randy Dukes	Philadelphia, PA	G	75	randy-dukes-1	11.6 Pts, 2.9 Reb, 1.5 Ast	JR
25	220	Brandon Reece	Baltimore, MD	F	80	brandon-reece-1	8.2 Pts, 4.9 Reb, 0.5 Ast	SR
1	160	Cedrick Barrow	Sacramento, CA	G	72	cedrick-barrow-1	8.1 Pts, 2.2 Reb, 3.0 Ast	SO
2	220	Reggie Winkfield	Germantown, MD	G	77	reggie-winkfield-1	8.0 Pts, 2.6 Reb, 0.8 Ast	JR
42	215	Aaron Andrews	Woodbridge, VA	C	77	aaron-andrews-1	5.0 Pts, 4.2 Reb, 0.2 Ast	SO
5	210	Steven Snipes	Schenectady, NY	G	78	steven-snipes-1	2.6 Pts, 1.3 Reb, 0.3 Ast	FR
12	190	Cory McNeil	Baltimore, MD	G	73	cory-mcneil-1	3.0 Pts, 1.6 Reb, 1.5 Ast	SR
11	185	Stanford Grandy	Pittsburgh, PA	G	72	stanford-grandy-1	1.8 Pts, 0.8 Reb, 0.4 Ast	FR
4	210	Douglas Sims	Detroit, MI	F	79	douglas-sims-1	4.4 Pts, 4.0 Reb, 0.4 Ast	JR
34	180	Darnell Fisher	Portsmith, VA	G	75	darnell-fisher-1	1.5 Pts, 0.5 Reb, 0.1 Ast	JR
22	0	T.J. Stallings		G	72	tj-stallings-1	1.4 Pts, 0.4 Reb, 0.4 Ast	JR
30	0	Fredrick Scott		F	76	fredrick-scott-1	1.3 Pts, 0.9 Reb, 0.2 Ast	SO
42	200	Cedrick Ward	Baltimore, MD	F	78	cedrick-ward-1	0.8 Pts, 0.9 Reb, 0.2 Ast	SR
14	0	Vernon Williams		G	72	vernon-williams-1	1.2 Pts, 0.6 Reb, 1.2 Ast	SR
15	0	Jordan Rice	New Rochelle, NY	G	70	jordan-rice-1	0.5 Pts, 0.0 Reb, 0.0 Ast	JR
