number	weight	playerName	hometown	pos	height	playerId	summary	class
5	200	Ruben Douglas	Altadena, CA		77	ruben-douglas-1	18.1 Pts, 4.5 Reb, 1.4 Ast	
		Douglas Ruben		G	77	douglas-ruben-1	18.1 Pts, 4.5 Reb, 1.4 Ast	JR
42	215	Eric Chatfield	New York City, NY		75	eric-chatfield-1	12.1 Pts, 2.5 Reb, 3.0 Ast	
		Chatfield Eric		G	75	chatfield-eric-1	12.1 Pts, 2.5 Reb, 3.0 Ast	SR
33	230	Patrick Dennehy	Santa Clara, CA		81	patrick-dennehy-1	10.6 Pts, 7.5 Reb, 0.7 Ast	
		Dennehy Patrick		F	81	dennehy-patrick-1	10.6 Pts, 7.5 Reb, 0.7 Ast	SO
24	235	Jamaal Williams	Corona, CA	F	78	jamaal-williams-1	7.7 Pts, 5.1 Reb, 0.3 Ast	FR
		Parmer Marlon		G	74	parmer-marlon-1	12.8 Pts, 5.4 Reb, 5.4 Ast	JR
2	180	Marlon Parmer	Los Angeles, CA		74	marlon-parmer-1	12.8 Pts, 5.4 Reb, 5.4 Ast	
		Carey Senque		G	76	carey-senque-1	6.0 Pts, 4.1 Reb, 3.2 Ast	JR
10	195	Tim Lightfoot	Everman, TX		76	tim-lightfoot-1	5.8 Pts, 1.1 Reb, 0.6 Ast	
		Lightfoot Tim		G	75	lightfoot-tim-1	5.8 Pts, 1.1 Reb, 0.6 Ast	SR
33	268	Chad Bell	Inglewood, CA		84	chad-bell-1	3.1 Pts, 2.1 Reb, 0.4 Ast	
		Bell Chad		F	83	bell-chad-1	3.1 Pts, 2.1 Reb, 0.4 Ast	FR
		Payne Cody		F	79	payne-cody-1	2.8 Pts, 2.9 Reb, 0.3 Ast	JR
40	235	Cody Payne	Sulphur Springs, TX			cody-payne-1	2.8 Pts, 2.9 Reb, 0.3 Ast	
55	235	Moustapha Diagne				moustapha-diagne-1	2.0 Pts, 2.0 Reb, 0.0 Ast	
		Diagne Moustapha		C	84	diagne-moustapha-1	2.0 Pts, 2.0 Reb, 0.0 Ast	JR
20	210	Beau Anderson	Albuquerque, NM			beau-anderson-1	1.2 Pts, 0.0 Reb, 0.0 Ast	
12	195	Ryan Ashcraft	Albuquerque, NM		74	ryan-ashcraft-1	0.5 Pts, 0.4 Reb, 0.3 Ast	
		Anderson Beau		G	74	anderson-beau-1	1.2 Pts, 0.0 Reb, 0.0 Ast	SR
30	180	Pat Kelly	Albuquerque, NM		78	pat-kelly-1	0.5 Pts, 0.5 Reb, 0.1 Ast	
		Kelly Pat		F	78	kelly-pat-1	0.5 Pts, 0.5 Reb, 0.1 Ast	SR
		Ashcraft Ryan		G	74	ashcraft-ryan-1	0.5 Pts, 0.4 Reb, 0.3 Ast	SO
		Senque Caray				senque-caray-1		
