number	weight	playerName	hometown	pos	height	playerId	summary	class
54	225	Hector Romero		F	79	hector-romero-1	20.2 Pts, 10.8 Reb, 1.9 Ast	JR
33	155	Kyle Buggs	Memphis, TN	G	75	kyle-buggs-1	11.1 Pts, 3.2 Reb, 1.1 Ast	SO
2	185	A.J. Meredith	Macon, GA	G	72	aj-meredith-1	8.3 Pts, 3.4 Reb, 4.6 Ast	SO
43	210	Victor Brown	Orlando, FL	F	80	victor-brown-1	7.8 Pts, 4.8 Reb, 1.2 Ast	FR
55	240	Nerijus Lisauskas		C	82	nerijus-lisauskas-1	5.7 Pts, 3.1 Reb, 0.5 Ast	JR
15	200	Kentrell Martin	Gainesville, FL	F	76	kentrell-martin-1	3.8 Pts, 2.8 Reb, 1.2 Ast	SO
21	190	Ben Wilson	Nicholasville, KY	G	75	ben-wilson-1	5.4 Pts, 1.9 Reb, 1.4 Ast	SO
15	215	Corey Sanders	Lansing, MI	C	83	corey-sanders-1	5.2 Pts, 3.3 Reb, 0.9 Ast	SR
22	210	Jason Mann	Lithonia, GA	F	80	jason-mann-1	2.6 Pts, 3.3 Reb, 0.3 Ast	SR
44	215	Andryi Sukhotin		C	83	andryi-sukhotin-1	4.2 Pts, 2.2 Reb, 0.0 Ast	JR
3	170	Justin Lauga	New Orleans, LA	G	72	justin-lauga-1	1.5 Pts, 0.3 Reb, 0.4 Ast	JR
10	215	Shelton Little	Rockford, IL	F	76	shelton-little-1	0.7 Pts, 0.7 Reb, 0.0 Ast	SO
5	220	John Ashaolu		F	77	john-ashaolu-1	0.0 Pts, 0.7 Reb, 0.3 Ast	SO
0	190	Brian Hamilton		G	75	brian-hamilton-2	0.0 Pts, 0.0 Reb, 0.0 Ast	SO
32	180	Steven June	New Orleans, LA	G	72	steven-june-1	0.0 Pts, 0.0 Reb, 0.0 Ast	SO
