number	weight	playerName	hometown	pos	height	playerId	summary	class
5	225	Chris Davis	Dallas, TX	G	78	chris-davis-2	22.5 Pts, 6.4 Reb, 2.6 Ast	JR
4	190	Jermaine Green	Houston, TX	F	80	jermaine-green-1	13.1 Pts, 6.0 Reb, 1.1 Ast	JR
22	190	Leonard Hopkins	Dallas, TX	G	75	leonard-hopkins-1	11.5 Pts, 3.1 Reb, 1.2 Ast	FR
2	150	Jerome Rogers	Dallas, TX	G	70	jerome-rogers-1	9.8 Pts, 2.1 Reb, 2.0 Ast	SO
1	210	Will Smith	Dallas, TX	F	79	will-smith-2	5.5 Pts, 4.5 Reb, 0.9 Ast	SO
41	200	Kenneth Mangrum	Waco, TX	G	76	kenneth-mangrum-1	5.6 Pts, 3.7 Reb, 1.4 Ast	SR
44	255	Unjel Masters	Dallas, TX	F	81	unjel-masters-1	4.6 Pts, 3.2 Reb, 0.3 Ast	SO
21	185	Lee Green	Hagerstown, MD	G	75	lee-green-1	4.6 Pts, 1.9 Reb, 1.9 Ast	JR
15	265	Adrian Awasom	Statford, TX	F	77	adrian-awasom-1	2.0 Pts, 2.1 Reb, 0.1 Ast	SO
	180	Terence White	Houston, TX	G		terence-white-1	1.2 Pts, 1.0 Reb, 1.0 Ast	SO
11	225	Andy Blount	Bandera, TX	G	76	andy-blount-1	1.6 Pts, 1.3 Reb, 0.4 Ast	SO
10	165	Rusty Chiles	Spring, TX	G	74	rusty-chiles-1	0.6 Pts, 0.1 Reb, 0.1 Ast	JR
20	190	Antonio McKenzie	Dallas, TX	G	76	antonio-mckenzie-1	0.7 Pts, 0.2 Reb, 0.0 Ast	SO
