number	weight	playerName	hometown	pos	height	playerId	summary	class
1	185	Sharif Chambliss	Racine, WI	G	72	sharif-chambliss-1	14.6 Pts, 2.4 Reb, 1.6 Ast	SO
10	165	Brandon Watkins	Bellwood, IL	G	72	brandon-watkins-1	13.2 Pts, 3.0 Reb, 4.1 Ast	JR
35	230	Tyler Smith	Lake Forest, IL	F	81	tyler-smith-4	12.0 Pts, 5.0 Reb, 1.4 Ast	SR
22	232	Jan Jagla		F	83	jan-jagla-1	7.4 Pts, 5.8 Reb, 1.0 Ast	FR
1	242	Jamaal Tate	Linden, NJ	F	77	jamaal-tate-1	6.5 Pts, 2.4 Reb, 1.7 Ast	SO
41	230	Daren Tielsch	McKees Rocks, PA	F	79	daren-tielsch-1	4.0 Pts, 3.4 Reb, 1.1 Ast	FR
44	230	Ndu Egekeze	Augusta, GA	F	78	ndu-egekeze-1	2.8 Pts, 1.9 Reb, 0.4 Ast	SO
4	180	Ken Krimmel	State College, PA	G	74	ken-krimmel-1	1.6 Pts, 1.0 Reb, 1.2 Ast	SR
24	248	Kevin Fellows	Meridian, ID	C	82	kevin-fellows-1	1.0 Pts, 1.5 Reb, 0.4 Ast	FR
34	200	B.J. Vossekuil	Orange Park, FL	F	79	bj-vossekuil-1	1.6 Pts, 1.6 Reb, 0.4 Ast	JR
45	205	Jason McDougald	Lewisville, NC	F	81	jason-mcdougald-1	0.6 Pts, 1.1 Reb, 0.0 Ast	FR
55	215	Sam Crenshaw	Youngstown, OH			sam-crenshaw-1	0.4 Pts, 0.7 Reb, 0.0 Ast	SO
21	230	Stephan Bekale		F	81	stephan-bekale-1	0.7 Pts, 1.0 Reb, 0.3 Ast	JR
