number	weight	playerName	hometown	pos	height	playerId	summary	class
20	180	Brandin Knight	East Orange, NJ	G	72	brandin-knight-1	15.6 Pts, 4.8 Reb, 7.2 Ast	JR
1	191	Julius Page	Buffalo, NY	G	75	julius-page-1	12.2 Pts, 3.6 Reb, 2.2 Ast	SO
5	238	Donatas Zavackas		F	80	donatas-zavackas-1	11.1 Pts, 5.4 Reb, 1.9 Ast	JR
4	229	Jaron Brown	Lexington, KY	G	76	jaron-brown-2	9.3 Pts, 6.1 Reb, 2.3 Ast	SO
50	265	Ontario Lett	Pensacola, FL	F	78	ontario-lett-1	8.5 Pts, 4.6 Reb, 0.8 Ast	JR
2	240	Chevon Troutman	Williamsport, PA	F	79	chevon-troutman-1	5.3 Pts, 3.5 Reb, 0.5 Ast	FR
15	215	Chad Johnson	Monticello, FL	G	77	chad-johnson-2	4.2 Pts, 2.8 Reb, 1.3 Ast	SR
55	282	Toree Morris	Oliver Springs, TN	C	82	toree-morris-1	4.0 Pts, 3.3 Reb, 0.1 Ast	SO
21	220	Mark McCarroll	Queens, NY	F	83	mark-mccarroll-1	2.8 Pts, 1.8 Reb, 0.5 Ast	FR
3	220	Yuri Demetris	Glenshaw, PA	G	76	yuri-demetris-1	1.5 Pts, 0.7 Reb, 0.6 Ast	FR
23	215	Gino Federico	McKees Rocks, PA	G	77	gino-federico-1	0.5 Pts, 0.5 Reb, 0.2 Ast	SO
0	173	Carlo Dorazio	Plum, PA	G	72	carlo-dorazio-1	0.7 Pts, 0.3 Reb, 0.3 Ast	SO
