number	weight	playerName	hometown	pos	height	playerId	summary	class
55	180	Casey Frandsen	Silver Lake, WA	G	75	casey-frandsen-1	19.2 Pts, 2.7 Reb, 1.7 Ast	SO
54	0	Coky Rochin		C	79	coky-rochin-1	15.5 Pts, 9.6 Reb, 0.7 Ast	SR
15	175	Adam Quick		G	74	adam-quick-1	8.8 Pts, 3.2 Reb, 5.7 Ast	SO
3	170	Ross Jorgusen	Toledo, WA	G	73	ross-jorgusen-1	8.5 Pts, 3.6 Reb, 3.0 Ast	SR
32	200	Patrick Galos	Santa Clara, CA	F	80	patrick-galos-1	4.8 Pts, 3.6 Reb, 0.8 Ast	FR
22	200	Eric Knight	Los Angeles, CA	G	74	eric-knight-1	4.6 Pts, 1.9 Reb, 1.1 Ast	JR
14	230	Ghislain Sema		F	79	ghislain-sema-1	5.2 Pts, 4.3 Reb, 0.3 Ast	SO
5	0	Porter Troupe	La Jolla, CA	G	76	porter-troupe-1	2.8 Pts, 1.6 Reb, 0.9 Ast	FR
13	210	Karl Aaker	Reno, NV	F	77	karl-aaker-1	6.6 Pts, 4.0 Reb, 1.2 Ast	FR
14	165	Brian Jochim	Toledo, WA			brian-jochim-1	0.8 Pts, 0.2 Reb, 0.1 Ast	SO
40	0	Nick Kirkwood				nick-kirkwood-1	0.0 Pts, 0.3 Reb, 0.0 Ast	SO
