number	weight	playerName	hometown	pos	height	playerId	summary	class
3	190	Jason Morgan	Willingboro, NJ	G	76	jason-morgan-1	17.4 Pts, 3.3 Reb, 3.0 Ast	SR
12	180	Karl Sanders	Brooklyn, NY	G	69	karl-sanders-1	13.1 Pts, 3.2 Reb, 4.6 Ast	SR
44	240	Chris Sockwell	Brooklyn, NY	C	80	chris-sockwell-1	13.0 Pts, 6.4 Reb, 0.8 Ast	JR
23	220	Cliff Strong	Brooklyn, NY	F	80	cliff-strong-1	12.8 Pts, 7.4 Reb, 1.0 Ast	SR
15	190	Bronski Dockery	New York, NY	G	74	bronski-dockery-1	15.2 Pts, 4.1 Reb, 3.8 Ast	JR
42	215	Eric Thompson	Brooklyn, NY	F	80	eric-thompson-1	5.3 Pts, 4.4 Reb, 0.4 Ast	SO
40	185	Omar Hatcher	Philadelphia, PA	G	74	omar-hatcher-1	4.2 Pts, 2.0 Reb, 1.1 Ast	JR
13	225	Paul Kowalczuk		F	82	paul-kowalczuk-1	3.5 Pts, 2.2 Reb, 0.2 Ast	JR
	225	Damien Herard	Jamaica, NY	F	79	damien-herard-1	2.3 Pts, 2.0 Reb, 0.2 Ast	FR
11	180	Rob Wiatre	Brooklyn, NY	G	71	rob-wiatre-1	0.9 Pts, 0.8 Reb, 0.8 Ast	FR
