number	weight	playerName	hometown	pos	height	playerId	summary	class
33	225	Percy Green	Oklahoma City, OK	F	79	percy-green-1	14.0 Pts, 5.4 Reb, 1.5 Ast	JR
24	175	Skip Jackson	Beaumont, TX	G	72	skip-jackson-1	10.3 Pts, 1.6 Reb, 2.1 Ast	JR
5	180	Ben Hunt		G	73	ben-hunt-1	8.5 Pts, 2.0 Reb, 1.5 Ast	JR
14	220	Ransom White	Lafayette, LA	F	79	ransom-white-1	7.3 Pts, 7.3 Reb, 2.1 Ast	SR
44	210	Stevin Ozier	Freeport, TX	F	80	stevin-ozier-1	7.0 Pts, 5.0 Reb, 0.5 Ast	FR
25	180	Jasen Gast	Humble, TX	G	75	jasen-gast-1	4.8 Pts, 1.8 Reb, 0.8 Ast	SO
0	185	Tim Simon	Houston, TX	G	72	tim-simon-1	3.3 Pts, 1.5 Reb, 1.8 Ast	FR
12	210	Edwin Tatum	Oklahoma City, OK	F	76	edwin-tatum-1	4.0 Pts, 4.3 Reb, 1.0 Ast	JR
2	225	Taylor Moore	Fort Worth, TX	F	80	taylor-moore-1	2.9 Pts, 2.5 Reb, 0.8 Ast	FR
43	185	Rashad Wright	Sugar Land, TX	G	76	rashad-wright-2	1.6 Pts, 1.2 Reb, 0.3 Ast	JR
3	175	Carlos Mitchell	San Antonio, TX	G	73	carlos-mitchell-1	1.0 Pts, 0.3 Reb, 0.0 Ast	FR
13	165	Tory Barnes	San Augustine, TX	G	70	tory-barnes-1	0.4 Pts, 0.1 Reb, 0.2 Ast	FR
54	235	Stephen Cobb	Austin, TX	C	82	stephen-cobb-1	1.2 Pts, 0.2 Reb, 0.0 Ast	SR
11	175	Danny Russell	Nacogdoches, TX	G	74	danny-russell-1	0.4 Pts, 0.8 Reb, 0.3 Ast	SO
23	180	Terry Gast	Humble, TX	G	73	terry-gast-1	0.0 Pts, 0.3 Reb, 0.0 Ast	SO
