number	weight	playerName	hometown	pos	height	playerId	summary	class
14	160	Ravii Givens	Albany, GA	G	70	ravii-givens-1	13.0 Pts, 2.5 Reb, 3.8 Ast	JR
45	215	Ricky Mcconnell	Tampa, FL	F	80	ricky-mcconnell-1	12.0 Pts, 6.4 Reb, 0.5 Ast	SR
35	250	Santos Hampton	Albany, GA	C	80	santos-hampton-1	10.9 Pts, 7.7 Reb, 0.7 Ast	SR
1	195	Alexis McMillan	College Park, GA	F	76	alexis-mcmillan-1	10.3 Pts, 4.6 Reb, 3.5 Ast	JR
34	190	Derrick DeWitt	Pemborke Pines, FL	G	75	derrick-dewitt-1	10.0 Pts, 2.6 Reb, 1.4 Ast	SO
5	220	Joe McNeal	High Springs, FL	F	77	joe-mcneal-1	6.3 Pts, 2.9 Reb, 0.4 Ast	SO
55	230	Mark Stiles	Jacksonville, FL	F	80	mark-stiles-1	4.7 Pts, 2.3 Reb, 0.3 Ast	FR
12	170	Van Morris	Leesville, LA	G	72	van-morris-1	2.6 Pts, 1.3 Reb, 1.3 Ast	JR
25	205	Josh Reaser	Charleston, WV	F	77	josh-reaser-1	2.3 Pts, 0.7 Reb, 0.5 Ast	SO
1	200	Craig Butts	Savannah, GA	F	78	craig-butts-1	2.3 Pts, 0.9 Reb, 0.1 Ast	SO
52	195	Kevin Merideth	Orlando, FL	F	77	kevin-merideth-1	0.0 Pts, 0.2 Reb, 0.0 Ast	SO
