number	weight	playerName	hometown	pos	height	playerId	summary	class
40	225	Brian Foster	Ironton, MO	F	77	brian-foster-1	14.1 Pts, 6.5 Reb, 1.8 Ast	SR
44	210	Jeremy Sargent	Thomasville, AL	C	80	jeremy-sargent-1	13.4 Pts, 8.2 Reb, 0.9 Ast	SR
5	170	Jair Peralta		G	69	jair-peralta-1	12.1 Pts, 2.4 Reb, 5.3 Ast	SR
2	200	Jermi Hampton	Memphis, TN	G	69	jermi-hampton-1	9.1 Pts, 1.9 Reb, 2.2 Ast	SR
30	205	Joey Walker	Dickerson, TN	F	78	joey-walker-1	8.4 Pts, 4.5 Reb, 1.0 Ast	JR
12	185	Michael Jackson	Senatobia, MS	G	72	michael-jackson-4	6.4 Pts, 2.1 Reb, 1.2 Ast	SR
0	190	Okechi Egbe	Decatur, AL	F	77	okechi-egbe-1	5.8 Pts, 2.9 Reb, 0.7 Ast	JR
3	205	Jeremy Kelly	Louisville, KY	G	77	jeremy-kelly-1	5.0 Pts, 2.9 Reb, 1.7 Ast	FR
50	250	Ned Rolsma	Aliquippa, PA	C	85	ned-rolsma-1	2.8 Pts, 1.8 Reb, 0.2 Ast	SR
10	175	Brooks Smith	Layton, UT	G	72	brooks-smith-1	2.1 Pts, 0.9 Reb, 1.1 Ast	JR
22	185	Jon Roos	Indianapolis, IN	G	72	jon-roos-1	0.5 Pts, 1.2 Reb, 0.9 Ast	JR
4	210	Kenan Asceric		F	81	kenan-asceric-1	3.5 Pts, 2.0 Reb, 0.0 Ast	JR
20	185	Adrian Higgs	Greenfield, TN	G	73	adrian-higgs-1	0.9 Pts, 0.6 Reb, 0.0 Ast	FR
33	200	Mike Flowers	Kansas City, MO	F	78	mike-flowers-1	0.5 Pts, 0.2 Reb, 0.2 Ast	SO
