number	weight	playerName	hometown	pos	height	playerId	summary	class
11	170	Terry Reynolds	Nashville, TN	G	69	terry-reynolds-1	14.1 Pts, 3.8 Reb, 4.2 Ast	SO
12	188	Nick Moore	Ypsilanti, MI	G	73	nick-moore-1	14.3 Pts, 3.0 Reb, 2.0 Ast	JR
34	185	Keith Triplett	Toledo, OH	G	75	keith-triplett-1	9.3 Pts, 6.0 Reb, 1.7 Ast	SO
44	220	Ricardo Thomas	Detroit, MI	F	79	ricardo-thomas-1	7.7 Pts, 4.7 Reb, 2.5 Ast	SO
4	215	Milo Kirsh	Indianapolis, IN	F	79	milo-kirsh-1	6.4 Pts, 3.4 Reb, 0.2 Ast	JR
43	250	A.J. Shellabarger	Celina, OH	C	81	aj-shellabarger-1	4.5 Pts, 3.7 Reb, 0.2 Ast	SO
35	235	Kareem Milson		F	79	kareem-milson-1	3.9 Pts, 3.5 Reb, 0.2 Ast	FR
23	165	Garwin Patterson	Toledo, OH	G	70	garwin-patterson-1	3.6 Pts, 1.0 Reb, 0.7 Ast	SR
24	185	Jim Clement	St. Ignace, MI	G	78	jim-clement-1	2.2 Pts, 0.9 Reb, 0.2 Ast	FR
22	240	Phil Alexander	Chicago Heights, IL	F	75	phil-alexander-1	2.6 Pts, 2.1 Reb, 0.0 Ast	SO
