number	weight	playerName	hometown	pos	height	playerId	summary	class
34	222	Kevin Johnson	Missouri City, TX	F	79	kevin-johnson-2	14.5 Pts, 5.5 Reb, 0.9 Ast	JR
10	185	Greg Harrington	Carrollton, TX	G	74	greg-harrington-1	13.0 Pts, 3.6 Reb, 5.2 Ast	SR
1	180	Dante Swanson	Wagoner, OK	G	70	dante-swanson-1	11.6 Pts, 3.9 Reb, 2.4 Ast	JR
3	170	Antonio Reed	Tulsa, OK	G	70	antonio-reed-1	11.1 Pts, 3.0 Reb, 4.1 Ast	JR
14	180	Jason Parker	Tulsa, OK	G	74	jason-parker-2	8.6 Pts, 2.0 Reb, 2.1 Ast	SO
33	232	Charlie Davis	Grand Prairie, TX	F	79	charlie-davis-1	8.2 Pts, 6.7 Reb, 1.0 Ast	JR
4	220	Jarius Glenn	Decatur, GA	F	78	jarius-glenn-1	4.7 Pts, 2.1 Reb, 0.9 Ast	FR
50	245	Jack Ingram	San Antonio, TX	C	82	jack-ingram-1	4.4 Pts, 3.5 Reb, 0.4 Ast	SO
32	210	Marqus Ledoux	Baton Rouge, LA	F	80	marqus-ledoux-1	4.4 Pts, 2.3 Reb, 0.4 Ast	JR
12	185	Kyle Blankenship	Shreveport, LA	G	72	kyle-blankenship-1	0.5 Pts, 0.4 Reb, 0.0 Ast	FR
5	170	Gianni Martins		G	70	gianni-martins-1	0.2 Pts, 0.1 Reb, 0.0 Ast	SO
