number	weight	playerName	hometown	pos	height	playerId	summary	class
24	215	Doug Wrenn	Seattle, WA	F	80	doug-wrenn-1	19.5 Pts, 6.4 Reb, 2.0 Ast	SO
20	170	Curtis Allen	Tacoma, WA	G	72	curtis-allen-3	12.0 Pts, 2.2 Reb, 4.3 Ast	SO
50	280	David Dixon	Houston, TX	C	83	david-dixon-1	8.4 Pts, 7.6 Reb, 1.2 Ast	SR
31	225	Grant Leep	Mount Vernon, WA	F	79	grant-leep-1	7.8 Pts, 4.1 Reb, 0.5 Ast	SR
22	211	Erroll Knight	Seattle, WA	G	78	erroll-knight-1	7.1 Pts, 2.6 Reb, 0.8 Ast	FR
1	210	C.J. Massingale	Tacoma, WA	G	76	cj-massingale-1	5.7 Pts, 3.1 Reb, 0.8 Ast	SO
23	205	Josh Barnard	Tacoma, WA	G	77	josh-barnard-2	5.0 Pts, 1.8 Reb, 1.3 Ast	JR
1	235	Jeffrey Day	Seattle, WA	C	81	jeffrey-day-1	2.8 Pts, 2.8 Reb, 0.5 Ast	FR
5	195	Will Conroy		G	74	will-conroy-1	2.5 Pts, 1.6 Reb, 1.6 Ast	FR
3	190	Sterling Brown	Woodinville, WA	G	76	sterling-brown-1	1.9 Pts, 0.8 Reb, 0.5 Ast	SO
52	210	David Hudson	Seattle, WA	G	71	david-hudson-2	1.9 Pts, 0.0 Reb, 0.1 Ast	FR
42	250	Mike Jensen	Covington, WA	F	81	mike-jensen-1	2.0 Pts, 1.8 Reb, 0.0 Ast	FR
	260	Ben Devoe	Olympia, WA	C	83	ben-devoe-1	6.0 Pts, 7.0 Reb, 4.0 Ast	FR
10	180	Charles Frederick	Boca Raton, FL	G	72	charles-frederick-1	0.8 Pts, 0.3 Reb, 0.3 Ast	FR
12	215	Ian Gibbs	Bellingham, WA	F	76	ian-gibbs-1	0.0 Pts, 0.2 Reb, 0.0 Ast	SO
