number	weight	playerName	hometown	pos	height	playerId	summary	class
5	192	Randy Burns	Houston, TX	G	71	randy-burns-1	12.1 Pts, 2.3 Reb, 1.8 Ast	FR
4	208	Jamar Howard	Shawnee Mission, KS	F	77	jamar-howard-1	10.9 Pts, 5.4 Reb, 2.1 Ast	FR
15	210	Terrell Benton	Derby, KS	G	77	terrell-benton-1	10.5 Pts, 3.1 Reb, 1.7 Ast	SR
22	205	Troy Mack	Detroit, MI	F	80	troy-mack-1	10.1 Pts, 6.9 Reb, 1.3 Ast	SR
32	195	C.C. McFall	Benton Harbor, MI	G	76	cc-mcfall-1	10.1 Pts, 4.6 Reb, 2.8 Ast	SR
33	208	Rob Kampman	Forest City, IA	F	80	rob-kampman-1	8.3 Pts, 4.3 Reb, 1.2 Ast	FR
4	210	Jamie Sowers	Newark, NJ	F	79	jamie-sowers-2	4.9 Pts, 3.2 Reb, 0.4 Ast	FR
0	210	Dion Sherrell	Detroit, MI	G	76	dion-sherrell-1	3.0 Pts, 1.0 Reb, 0.1 Ast	FR
21	178	Matt Clark	Fort Collins, CO	G	72	matt-clark-2	2.3 Pts, 0.8 Reb, 1.2 Ast	SO
24	179	Craig Steven	Wichita, KS	G	74	craig-steven-1	1.1 Pts, 1.0 Reb, 1.8 Ast	JR
1	205	Duke Tshomba		F	77	duke-tshomba-1	1.5 Pts, 0.8 Reb, 0.5 Ast	SR
45	250	Paul Miller		C	82	paul-miller-1	4.0 Pts, 2.0 Reb, 0.0 Ast	FR
