number	weight	playerName	hometown	pos	height	playerId	summary	class
30	240	David West		F	81	david-west-1	18.3 Pts, 9.8 Reb, 1.6 Ast	JR
10	205	Romain Sato		G	77	romain-sato-1	16.1 Pts, 6.6 Reb, 1.8 Ast	SO
0	180	Lionel Chalmers	Albany, NY	G	72	lionel-chalmers-1	12.0 Pts, 3.4 Reb, 4.2 Ast	JR
3	235	Kevin Frey	Chicago, IL	F	80	kevin-frey-1	8.5 Pts, 5.7 Reb, 1.3 Ast	SR
13	200	Dave Young	New Castle, PA	G	77	dave-young-1	8.0 Pts, 3.6 Reb, 1.2 Ast	JR
25	210	Keith Jackson	Cincinnati, OH	G	78	keith-jackson-2	3.7 Pts, 1.8 Reb, 0.6 Ast	FR
24	180	Alvin Brown	Washington, DC	G	75	alvin-brown-2	2.6 Pts, 1.1 Reb, 0.8 Ast	SR
2	181	Jaison Williams	Aurora, CO	G	75	jaison-williams-2	2.2 Pts, 0.9 Reb, 0.9 Ast	FR
21	205	Anthony Coleman	Carson, CA	F	83	anthony-coleman-1	1.4 Pts, 1.0 Reb, 0.2 Ast	FR
45	240	James Baronas	Baltimore, MD	F	80	james-baronas-1	0.9 Pts, 0.9 Reb, 0.0 Ast	SR
53	245	Ryan Caldwell	Cincinnati, OH	F	77	ryan-caldwell-1	0.8 Pts, 1.0 Reb, 0.0 Ast	JR
22	158	Andre Johnson	Youngstown, OH	G	69	andre-johnson-1	1.3 Pts, 0.0 Reb, 0.3 Ast	JR
54	260	Tom Compton	Cincinnati, OH	F	83	tom-compton-1	0.0 Pts, 0.0 Reb, 0.0 Ast	SO
