number	weight	playerName	hometown	pos	height	playerId	summary	class
4	240	Lawrence Roberts		F	81	lawrence-roberts-1	15.2 Pts, 10.4 Reb, 1.5 Ast	SO
15	165	John Lucas		G	71	john-lucas-2	13.2 Pts, 2.4 Reb, 4.4 Ast	SO
10	190	Kenny Taylor	Sugar Land, TX	G	75	kenny-taylor-1	11.8 Pts, 2.1 Reb, 1.5 Ast	SO
34	245	R.T. Guinn	Albuquerque, NM	C	82	rt-guinn-1	10.6 Pts, 5.6 Reb, 0.8 Ast	JR
13	205	Matt Sayman	The Colony, TX	G	76	matt-sayman-1	4.5 Pts, 2.8 Reb, 2.3 Ast	JR
23	220	Carlton Dotson	Hurlock, MD	F	79	carlton-dotson-1	4.4 Pts, 2.6 Reb, 0.6 Ast	JR
24	230	Terrance Thomas	Dallas, TX	F	78	terrance-thomas-1	5.3 Pts, 3.6 Reb, 2.1 Ast	JR
4	185	Ellis Kidd	Dallas, TX	G	76	ellis-kidd-1	4.3 Pts, 1.2 Reb, 1.0 Ast	SO
32	225	Tommy Swanson	Fort Worth, TX	F	82	tommy-swanson-1	0.9 Pts, 0.8 Reb, 0.1 Ast	FR
55	250	Steve Othoro		C	83	steve-othoro-1	1.0 Pts, 2.1 Reb, 0.0 Ast	SR
12	180	Andre White	Friendwood, TX	G	72	andre-white-1	1.1 Pts, 0.4 Reb, 0.2 Ast	SR
2	210	Corey Herring	Buffalo, NY	G	77	corey-herring-2	0.2 Pts, 0.9 Reb, 0.3 Ast	FR
42	215	Steve Raquet	Albuquerque, NM	F	78	steve-raquet-1	0.7 Pts, 0.0 Reb, 0.0 Ast	SO
21	185	Will Allen	Richardson, TX	G	74	will-allen-1	0.0 Pts, 0.3 Reb, 0.3 Ast	FR
10	175	Robert Hart	Dallas, TX	G	70	robert-hart-1	0.0 Pts, 0.5 Reb, 0.0 Ast	JR
