number	weight	playerName	hometown	pos	height	playerId	summary	class
32	195	Richard Toussaint	Tampa, FL	G	75	richard-toussaint-1	18.2 Pts, 4.0 Reb, 1.3 Ast	SR
20	185	Maurice Riddick	Suffolk, VA	F	75	maurice-riddick-1	15.5 Pts, 3.3 Reb, 1.1 Ast	SR
21	218	Pape Ba		C	80	pape-ba-1	10.7 Pts, 6.7 Reb, 0.4 Ast	JR
33	210	Michael Williams	College Park, GA	C	79	michael-williams-1	4.5 Pts, 6.6 Reb, 1.1 Ast	FR
12	172	O'Neal Carter	Chicago, IL	G	73	oneal-carter-1	3.8 Pts, 2.2 Reb, 2.9 Ast	SO
3	185	Kendrick Frink	Shallotte, NC	F	76	kendrick-frink-1	4.1 Pts, 1.0 Reb, 0.2 Ast	JR
22	200	Diondre Larmond	Miami, FL	F	78	diondre-larmond-1	8.6 Pts, 3.7 Reb, 0.6 Ast	JR
23	180	Markey Picard	Kissimmee, FL	G	72	markey-picard-1	2.2 Pts, 1.2 Reb, 2.6 Ast	JR
10	183	Nathanael Reed	Brooklyn, NY	F	76	nathanael-reed-1	2.3 Pts, 1.4 Reb, 0.5 Ast	SR
30	175	Ade Swann	Queens, NY	G	72	ade-swann-1	2.0 Pts, 0.7 Reb, 1.5 Ast	FR
4	260	Jerome Nicholson	Titusville, FL	C	80	jerome-nicholson-1	1.7 Pts, 1.8 Reb, 0.0 Ast	JR
	185	David Hawkins	Aurora, IL	G	73	david-hawkins-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
