number	weight	playerName	hometown	pos	height	playerId	summary	class
4	230	J.J. Sola	Mission Viejo, CA	F	79	jj-sola-1	14.4 Pts, 5.2 Reb, 2.4 Ast	SR
40	267	Greg Danielson	Des Moines, IA	C	81	greg-danielson-1	13.9 Pts, 8.9 Reb, 1.6 Ast	SR
25	215	Luke McDonald	Lubbock, TX	G	78	luke-mcdonald-1	13.3 Pts, 2.5 Reb, 1.2 Ast	JR
1	165	Lonnie Randolph	East Chicago, IN	G	73	lonnie-randolph-1	8.9 Pts, 2.3 Reb, 3.5 Ast	SO
2	185	Josh Robinson	Mahwah, NJ	G	75	josh-robinson-1	4.3 Pts, 1.6 Reb, 1.5 Ast	FR
3	215	T.J. Welton	Des Moines, IA	G	78	tj-welton-1	3.7 Pts, 2.6 Reb, 0.5 Ast	SR
23	200	Quantel Murphy	Denver, CO	F	77	quantel-murphy-1	2.9 Pts, 1.4 Reb, 0.3 Ast	FR
24	183	David Newman	Des Moines, IA	G	71	david-newman-1	2.6 Pts, 1.0 Reb, 1.4 Ast	SR
23	180	Sean Tracy	Silver Spring, MD	G	76	sean-tracy-1	2.2 Pts, 1.6 Reb, 0.9 Ast	FR
32	235	David Bancroft	Marshfield, MO	F	81	david-bancroft-1	2.2 Pts, 1.6 Reb, 0.3 Ast	SO
34	210	Josh Powell	Des Moines, IA	F	79	josh-powell-2	1.3 Pts, 1.6 Reb, 0.4 Ast	FR
15	171	Brian Hogan	Fort Madison, IA	G	73	brian-hogan-1	1.0 Pts, 1.0 Reb, 0.0 Ast	SO
22	179	Nate Richie	Decatur, IN	G	74	nate-richie-1	0.3 Pts, 0.3 Reb, 0.2 Ast	SO
12	225	Marcin Konarzewski		F	80	marcin-konarzewski-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
