number	weight	playerName	hometown	pos	height	playerId	summary	class
15	240	Matt Bonner		F	82	matt-bonner-1	15.2 Pts, 6.1 Reb, 1.5 Ast	SR
1	180	Anthony Roberson		G	74	anthony-roberson-1	12.3 Pts, 2.5 Reb, 1.8 Ast	FR
44	205	Matt Walsh		F	78	matt-walsh-1	12.2 Pts, 4.7 Reb, 3.1 Ast	FR
24	249	David Lee		F	81	david-lee-1	11.2 Pts, 6.8 Reb, 1.8 Ast	SO
12	207	Justin Hamilton	Sarasota, FL	G	75	justin-hamilton-1	8.0 Pts, 3.3 Reb, 3.6 Ast	SR
10	182	Brett Nelson	St. Albans, WV	G	76	brett-nelson-1	6.3 Pts, 1.7 Reb, 2.1 Ast	SR
42	225	Bonell Colas	Miami, FL	C	81	bonell-colas-1	4.8 Pts, 2.7 Reb, 0.6 Ast	JR
4	247	Adrian Moss	Houston, TX	F	81	adrian-moss-1	2.5 Pts, 1.9 Reb, 0.3 Ast	FR
10	210	Christian Drejer		G	81	christian-drejer-1	3.6 Pts, 1.6 Reb, 2.4 Ast	FR
4	235	Mario Boggan	Durham, NC	F	78	mario-boggan-1	2.2 Pts, 1.9 Reb, 0.4 Ast	FR
22	192	Rashid Al-Kaleem	Dorchester, MA	G	75	rashid-al-kaleem-1	1.8 Pts, 0.8 Reb, 0.5 Ast	FR
3	176	Seth Haimovitch	Coral Springs, FL	G	73	seth-haimovitch-1	0.5 Pts, 0.0 Reb, 0.2 Ast	SO
10	185	Chris Capko	Lakeland, FL	G	73	chris-capko-2	0.1 Pts, 0.4 Reb, 0.4 Ast	FR
