number	weight	playerName	hometown	pos	height	playerId	summary	class
11	175	Julius Jenkins	Deerfield Beach, FL	G	74	julius-jenkins-1	21.6 Pts, 4.9 Reb, 3.4 Ast	SR
32	230	Frank Bennett	Pompano Beach, FL	F	79	frank-bennett-1	14.7 Pts, 7.9 Reb, 1.1 Ast	JR
23	240	Jean Francois	West Palm Beach, FL	F	78	jean-francois-1	11.1 Pts, 6.2 Reb, 1.1 Ast	SO
12	175	Terry Williams	Gainsville, FL	G	75	terry-williams-1	8.8 Pts, 2.3 Reb, 3.8 Ast	SO
20	220	Kordel Gibson	Tallahassee, FL	F	77	kordel-gibson-1	7.9 Pts, 3.9 Reb, 2.0 Ast	JR
5	170	Prentice Mobley	Delray Beach, FL	G	73	prentice-mobley-1	4.6 Pts, 0.9 Reb, 1.6 Ast	JR
34	250	Courtney Joseph	New York, NY	C	81	courtney-joseph-1	4.1 Pts, 3.5 Reb, 0.4 Ast	SO
32	250	Nick Berry	Fort Lauderdale, FL	C	80	nick-berry-1	2.8 Pts, 2.7 Reb, 0.6 Ast	JR
4	240	Sean Olivier	St. Cloud, FL	F	81	sean-olivier-1	2.2 Pts, 1.6 Reb, 0.1 Ast	FR
	210	Willie Puckett	Griffin, GA	F	77	willie-puckett-1	1.6 Pts, 0.7 Reb, 0.4 Ast	SR
15	205	Kenny Faulk	Wachula, FL	G	76	kenny-faulk-1	5.6 Pts, 3.2 Reb, 1.2 Ast	SO
52	240	Marcus Byams	Tucker, GA	F	79	marcus-byams-1	1.3 Pts, 1.9 Reb, 0.1 Ast	JR
44	195	Sam Cox	Auburn, AL	G	80	sam-cox-1	1.6 Pts, 2.3 Reb, 0.7 Ast	SR
3	175	Mike Arnold	Coral Springs, FL	G	70	mike-arnold-1	0.4 Pts, 0.2 Reb, 0.2 Ast	FR
