number	weight	playerName	hometown	pos	height	playerId	summary	class
2	210	Jerell Parker	Chicago, IL	G	76	jerell-parker-1	13.6 Pts, 7.0 Reb, 2.5 Ast	JR
44	185	Pierre Johnson	Seabrook, MD	F	78	pierre-johnson-1	11.4 Pts, 6.2 Reb, 0.6 Ast	SR
4	180	Aaron Cook	Randallstown, MD	G	74	aaron-cook-1	9.9 Pts, 1.9 Reb, 1.2 Ast	FR
20	160	Ryan Stys	Hooksett, NH	G	70	ryan-stys-1	8.7 Pts, 2.7 Reb, 3.0 Ast	JR
13	165	Wayne McClinton	Jersey City, NJ	G	76	wayne-mcclinton-1	5.6 Pts, 3.1 Reb, 2.6 Ast	SR
25	230	Junior Amous	Oklahoma City, OK	F	79	junior-amous-1	6.2 Pts, 4.1 Reb, 1.2 Ast	SR
34	200	Josh Odugbela	Barrington, RI	F	81	josh-odugbela-1	5.3 Pts, 4.4 Reb, 0.8 Ast	SR
23	230	Trevor Goode	Virginia Beach, VA	F	81	trevor-goode-1	3.1 Pts, 1.8 Reb, 0.2 Ast	SO
31	185	Shaun Swan	Virginia Beach, VA	G	73	shaun-swan-1	2.1 Pts, 0.8 Reb, 0.3 Ast	SO
33	210	Sean Regan	St. Charles, IL	G	77	sean-regan-1	1.2 Pts, 1.8 Reb, 0.1 Ast	SO
21	200	Louis Bosley	New Haven, CT	F	78	louis-bosley-1	1.4 Pts, 1.2 Reb, 0.1 Ast	JR
10	180	Shayne Cranmore	Milton, MA	G	71	shayne-cranmore-1	0.3 Pts, 0.5 Reb, 0.0 Ast	JR
0	210	Deon Saunders	Washington, DC	F	79	deon-saunders-1	2.0 Pts, 4.0 Reb, 2.0 Ast	JR
5	210	Tyler Lang	Franklin, MA	F	82	tyler-lang-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
