number	weight	playerName	hometown	pos	height	playerId	summary	class
22	201	Brady Merchant	Lebanon, OH	G	76	brady-merchant-1	15.4 Pts, 4.5 Reb, 1.9 Ast	SR
44	215	Sam Winter	Topeka, KS	F	79	sam-winter-1	11.2 Pts, 8.1 Reb, 1.2 Ast	SR
24	179	Patrick Harvey	Chicago, IL	G	74	patrick-harvey-1	16.7 Pts, 3.5 Reb, 3.3 Ast	SR
15	200	Elliott Prasse-Freeman	Mercer Island, WA	G	75	elliott-prasse-freeman-1	8.2 Pts, 4.1 Reb, 7.7 Ast	SR
54	225	Brian Sigafoos	Basking Ridge, NJ	C	84	brian-sigafoos-1	6.8 Pts, 5.3 Reb, 0.4 Ast	SR
50	255	Brian Cusworth	St. Louis, MO	C	84	brian-cusworth-1	6.2 Pts, 3.7 Reb, 0.5 Ast	FR
32	197	Jason Norman	Woodside, CA	G	75	jason-norman-1	5.1 Pts, 2.0 Reb, 0.8 Ast	SO
13	196	Kevin Rogus	Brookeville, MD	G	76	kevin-rogus-1	3.5 Pts, 0.8 Reb, 0.4 Ast	SO
44	225	Graham Beatty	Wauconda, IL	F	80	graham-beatty-1	2.0 Pts, 2.3 Reb, 0.2 Ast	SO
23	215	Mike Beal	Brooklyn, NY	G	77	mike-beal-1	1.0 Pts, 0.7 Reb, 0.2 Ast	FR
25	167	David Giovacchini	Salt Lake City, UT	G	73	david-giovacchini-1	2.1 Pts, 0.8 Reb, 0.8 Ast	SO
21	215	Matt Stehle	Newton, MA	F	80	matt-stehle-1	0.8 Pts, 1.2 Reb, 0.1 Ast	FR
40	200	Luke McCrone		F	79	luke-mccrone-1	0.1 Pts, 0.6 Reb, 0.0 Ast	FR
12	215	Shawn Driscoll	Milton, MA	F	77	shawn-driscoll-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
20	200	Brian Houlihan	Rockville Center, NY	F	78	brian-houlihan-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
33	205	Zach Martin	Medford, NJ	F	76	zach-martin-1	0.0 Pts, 0.2 Reb, 0.0 Ast	FR
