number	weight	playerName	hometown	pos	height	playerId	summary	class
55	205	Danny Gathings	Winston-Salem, NC	F	78	danny-gathings-1	18.7 Pts, 7.6 Reb, 1.0 Ast	SO
10	190	Joe Knight	Columbia, TN	G	74	joe-knight-1	16.3 Pts, 4.4 Reb, 2.0 Ast	SO
4	220	Dustin Van Weerdhuizen	LaCenter, WA	F	78	dustin-van-weerdhuizen-1	14.3 Pts, 5.7 Reb, 3.0 Ast	SR
40	215	Brent Halsch	Greensboro, NC	F	77	brent-halsch-1	5.1 Pts, 3.1 Reb, 1.3 Ast	JR
0	275	Kashawn Hampton	Worchester, MA	C	80	kashawn-hampton-1	6.0 Pts, 4.0 Reb, 0.5 Ast	SR
42	210	Ron Barrow	Sacramento, CA	F	78	ron-barrow-1	4.7 Pts, 2.8 Reb, 0.6 Ast	SR
3	185	Jeff Allen	Woodbridge, VA	G	72	jeff-allen-1	4.6 Pts, 1.3 Reb, 2.8 Ast	FR
52	215	John Stonehocker	Metuchen, NJ	C	81	john-stonehocker-1	2.9 Pts, 2.9 Reb, 0.4 Ast	JR
23	185	Matt Anderson	Lenoir, NC	G	72	matt-anderson-1	3.0 Pts, 1.2 Reb, 1.5 Ast	FR
50	260	Jeremy McCall		C	83	jeremy-mccall-1	0.9 Pts, 1.0 Reb, 0.0 Ast	SO
