number	weight	playerName	hometown	pos	height	playerId	summary	class
22	165	Ron Williamson	Columbus, OH	G	72	ron-williamson-1	21.7 Pts, 2.8 Reb, 2.3 Ast	SR
10	215	Kyle Williams	Burlington, NJ	F	78	kyle-williams-2	15.1 Pts, 4.8 Reb, 2.5 Ast	SR
44	190	Seye Aluko	Burtonsville, MD	F	78	seye-aluko-1	9.7 Pts, 7.0 Reb, 1.0 Ast	JR
33	210	Mario Grove	Cincinnati, OH	F	79	mario-grove-1	7.0 Pts, 5.2 Reb, 0.5 Ast	SR
	200	James Wilkerson	Louisville, KY	F	81	james-wilkerson-1	9.1 Pts, 4.1 Reb, 0.4 Ast	SO
10	170	Louis Ford	Cambridge, MA	G	66	louis-ford-1	7.3 Pts, 2.7 Reb, 5.0 Ast	FR
0	270	Quadir Habeeb	Buffalo, NY	C	82	quadir-habeeb-1	4.1 Pts, 3.0 Reb, 0.5 Ast	JR
3	0	Donald Clark		C	77	donald-clark-1	2.6 Pts, 1.5 Reb, 0.3 Ast	SR
		Mac Wilkinson				mac-wilkinson-1	15.0 Pts, 8.5 Reb, 1.5 Ast	FR
51	190	Ronald Miller	Temple Hills, MD	C	79	ronald-miller-1	1.0 Pts, 1.1 Reb, 0.1 Ast	JR
25	180	Hekima Jackson	Temple Hills, MD	G	74	hekima-jackson-1	1.3 Pts, 0.9 Reb, 0.4 Ast	JR
12	180	Jonathan Stokes	Los Angeles, CA	G	74	jonathan-stokes-1	5.0 Pts, 1.0 Reb, 0.5 Ast	SR
45	225	Brannon Terry	Tulsa, OK	F	78	brannon-terry-1	0.6 Pts, 0.6 Reb, 0.1 Ast	SR
40	245	Daniel Wright	Long Island, NY	C	82	daniel-wright-1	0.5 Pts, 0.5 Reb, 0.0 Ast	FR
