number	weight	playerName	hometown	pos	height	playerId	summary	class
0	210	Courtney Fields	New York, NY	G	81	courtney-fields-1	13.2 Pts, 6.4 Reb, 2.1 Ast	SR
1	220	Steve Smith	New Castle, DE	F	78	steve-smith-3	12.8 Pts, 5.9 Reb, 1.3 Ast	JR
14	175	Ricky Soliver	New York, NY	G	75	ricky-soliver-1	10.2 Pts, 3.5 Reb, 3.4 Ast	FR
15	190	Steve Burtt	New York, NY	G	73	steve-burtt-2	9.2 Pts, 2.1 Reb, 1.4 Ast	FR
12	190	Maceo Wofford	Jamestown, NY	G	70	maceo-wofford-1	9.2 Pts, 2.2 Reb, 2.2 Ast	SR
13	180	Marvin McCullough	New York, NY	G	72	marvin-mccullough-1	7.4 Pts, 3.1 Reb, 4.0 Ast	FR
22	225	Charles Henson	Bronx, NY	C	81	charles-henson-1	5.8 Pts, 5.0 Reb, 1.2 Ast	JR
33	240	Kiril Wachsmann	New York, NY	F	80	kiril-wachsmann-1	5.2 Pts, 3.2 Reb, 0.5 Ast	FR
44	245	Greg Jenkins	Mt. Vernon, NY	C	81	greg-jenkins-1	13.4 Pts, 4.8 Reb, 1.6 Ast	JR
23	200	Randy Williams	Bronx, NY	G	75	randy-williams-1	0.6 Pts, 0.4 Reb, 0.0 Ast	JR
44	180	Kenny Dagostino	Schenectady, NY	G	73	kenny-dagostino-1	0.2 Pts, 0.0 Reb, 0.1 Ast	FR
