number	weight	playerName	hometown	pos	height	playerId	summary	class
0	195	Jake Sullivan	Oakdale, MN	G	73	jake-sullivan-1	17.0 Pts, 3.0 Reb, 2.4 Ast	JR
4	220	Jackson Vroman	Bountiful, UT	F	82	jackson-vroman-1	12.5 Pts, 9.4 Reb, 1.8 Ast	JR
12	170	Tim Barnes	Henderson, KY	G	72	tim-barnes-1	11.3 Pts, 3.6 Reb, 5.0 Ast	JR
1	210	Adam Haluska	Carroll, IA	G	77	adam-haluska-1	9.2 Pts, 3.6 Reb, 1.0 Ast	FR
50	205	Marcus Jefferson	East Chicago, IN	F	77	marcus-jefferson-1	8.4 Pts, 3.5 Reb, 0.8 Ast	JR
51	250	Jared Homan	Remsen, IA	C	82	jared-homan-1	7.5 Pts, 6.4 Reb, 0.5 Ast	SO
34	235	Chris Alexander	Riverdale, IL	C	85	chris-alexander-2	7.7 Pts, 5.2 Reb, 0.4 Ast	JR
1	205	Omar Bynum	Omaha, NE	F	79	omar-bynum-1	2.9 Pts, 1.7 Reb, 0.2 Ast	SR
54	260	Andrew Skoglund	Minnetonka, MN	C	85	andrew-skoglund-1	0.9 Pts, 0.7 Reb, 0.1 Ast	JR
3	240	Clint Varley	Menlo, IA	F	76	clint-varley-1	0.3 Pts, 1.7 Reb, 0.3 Ast	SR
3	195	John Neal	Winterset, IA	G	76	john-neal-1	0.2 Pts, 0.5 Reb, 0.1 Ast	FR
15	215	Adam Schaper	Demotte, IN	F	81	adam-schaper-1	0.7 Pts, 1.0 Reb, 0.0 Ast	SO
	210	Justin Fries	Sioux Falls, SD		74	justin-fries-1		
