number	weight	playerName	hometown	pos	height	playerId	summary	class
10	190	Justin DeBerry	Tucson, AZ	G	75	justin-deberry-1	16.3 Pts, 3.6 Reb, 2.8 Ast	JR
21	188	Winston Davis	Tampa, FL	G	78	winston-davis-1	13.8 Pts, 4.6 Reb, 1.7 Ast	JR
33	200	Rob Dill		C	82	rob-dill-1	9.8 Pts, 5.7 Reb, 1.2 Ast	JR
40	240	Mike Farrell	DeLand, FL	F	80	mike-farrell-1	9.2 Pts, 6.6 Reb, 2.1 Ast	JR
12	205	Andrew Pleick	Carlsbad, CA	G	77	andrew-pleick-1	9.2 Pts, 4.6 Reb, 4.6 Ast	SR
10	210	Andrei Capusan		F	80	andrei-capusan-1	3.7 Pts, 2.6 Reb, 0.4 Ast	FR
54	265	Jamie Hughes	Mechanicsville, VA	C	84	jamie-hughes-1	2.9 Pts, 2.6 Reb, 0.0 Ast	SO
3	180	Drew Dawson	Camp Hill, PA	G	70	drew-dawson-1	1.9 Pts, 0.7 Reb, 0.6 Ast	SR
4	180	Pat Betley	Haddonfield, NJ	G	74	pat-betley-1	2.2 Pts, 0.7 Reb, 0.7 Ast	FR
32	160	Chris Saunders	New York, NY	G	75	chris-saunders-1	1.2 Pts, 0.8 Reb, 0.1 Ast	FR
20	144	Ryan Mulholland	Glen Rock, NJ			ryan-mulholland-1	0.5 Pts, 0.0 Reb, 0.0 Ast	FR
34	0	Jared Mast				jared-mast-1	0.0 Pts, 0.3 Reb, 0.0 Ast	FR
30	210	Miran Omanovic		F	79	miran-omanovic-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
