number	weight	playerName	hometown	pos	height	playerId	summary	class
20	200	Tony Darden	Snow Hill, NC	G	76	tony-darden-2	15.9 Pts, 2.2 Reb, 2.4 Ast	SR
30	255	Kevin Roberts	Petaluma, CA	F	79	kevin-roberts-1	12.3 Pts, 6.0 Reb, 1.6 Ast	JR
32	230	Vance Lawhorn	Las Vegas, NV	F	80	vance-lawhorn-1	9.7 Pts, 4.2 Reb, 0.6 Ast	SR
1	189	Jibril Hodges	Park Forest, IL	G	74	jibril-hodges-1	6.0 Pts, 1.4 Reb, 2.1 Ast	FR
10	193	Cody Pearson	Sherman Oaks, CA	G	76	cody-pearson-1	4.1 Pts, 3.5 Reb, 1.2 Ast	SO
52	215	Chris Jenkins	Albuquerque, NM	F	76	chris-jenkins-1	3.8 Pts, 1.8 Reb, 1.3 Ast	SO
24	242	Antoine Jackson	San Antonio, TX	C	80	antoine-jackson-1	3.8 Pts, 3.4 Reb, 0.2 Ast	JR
11	195	Darnell Thompson	Los Angeles, CA	G	74	darnell-thompson-1	3.8 Pts, 1.3 Reb, 2.1 Ast	JR
34	215	Lemi Williams	Hayti, MO	F	78	lemi-williams-1	6.4 Pts, 3.6 Reb, 1.4 Ast	SO
5	290	Marcel Jackson	Santa Cruz, CA	F	81	marcel-jackson-1	2.0 Pts, 1.8 Reb, 0.3 Ast	JR
44	240	Alex Graham	Redlands, CA	C	85	alex-graham-1	2.2 Pts, 2.2 Reb, 0.2 Ast	FR
25	225	Travis Clark	Carlsbad, CA	F	76	travis-clark-1	1.7 Pts, 0.9 Reb, 0.5 Ast	JR
35	170	Ulric Pattillo	Harbor City, CA	G	74	ulric-pattillo-1	0.2 Pts, 0.5 Reb, 0.1 Ast	FR
