number	weight	playerName	hometown	pos	height	playerId	summary	class
12	209	Ronald Dupree		F	79	ronald-dupree-1	15.8 Pts, 7.8 Reb, 2.4 Ast	SR
14	245	Jaime Lloreda		F	81	jaime-lloreda-1	12.3 Pts, 9.0 Reb, 1.1 Ast	JR
3	204	Torris Bright	Slidell, LA	G	76	torris-bright-1	11.1 Pts, 3.1 Reb, 4.7 Ast	SR
41	218	Collis Temple	Baton Rouge, LA	G	79	collis-temple-1	10.8 Pts, 3.5 Reb, 1.7 Ast	SR
42	214	Antonio Hudson	Grambling, LA	G	77	antonio-hudson-1	7.5 Pts, 2.9 Reb, 1.9 Ast	SO
22	178	Darrel Mitchell	St. Martinville, LA	G	71	darrel-mitchell-1	7.0 Pts, 2.2 Reb, 1.8 Ast	FR
54	268	Brad Bridgewater	New Roads, LA	F	80	brad-bridgewater-1	3.0 Pts, 1.8 Reb, 0.3 Ast	SR
22	172	Xavier Whipple	McIntyre, GA	G	74	xavier-whipple-1	2.7 Pts, 1.2 Reb, 1.9 Ast	SO
1	160	Tony Gipson	Farmerville, LA	G	73	tony-gipson-1	4.5 Pts, 0.9 Reb, 0.4 Ast	SO
44	230	Thomas Davis	Alexandria, LA	F	80	thomas-davis-1	2.3 Pts, 1.1 Reb, 0.2 Ast	SR
51	250	Shawnson Johnson	Shreveport, LA	F		shawnson-johnson-1	5.3 Pts, 7.0 Reb, 0.7 Ast	FR
10	190	Charles Thompson	Lake Charles, LA	G	73	charles-thompson-1	0.5 Pts, 0.5 Reb, 0.8 Ast	JR
20	245	Tim Bush	New Orleans, LA	F	78	tim-bush-1	0.7 Pts, 1.5 Reb, 0.4 Ast	FR
21	185	Courtney Trask	Baton Rouge, LA	G	75	courtney-trask-1	0.8 Pts, 0.5 Reb, 0.2 Ast	JR
32	205	Paul Wolfert	Burr Ridge, IL	F	81	paul-wolfert-1	0.8 Pts, 0.0 Reb, 0.2 Ast	FR
11	180	Josh Maravich	Covington, LA	G	75	josh-maravich-1	0.6 Pts, 0.0 Reb, 0.0 Ast	FR
0	188	Brian Green	Baton Rouge, LA	G	76	brian-green-1	0.3 Pts, 0.1 Reb, 0.0 Ast	SR
