number	weight	playerName	hometown	pos	height	playerId	summary	class
23	218	Rickey Paulding	Detroit, MI	G	77	rickey-paulding-1	17.4 Pts, 5.5 Reb, 2.2 Ast	JR
50	255	Arthur Johnson	Detroit, MI	C	81	arthur-johnson-1	16.1 Pts, 9.6 Reb, 1.2 Ast	JR
0	172	Ricky Clemons	Raleigh, NC	G	71	ricky-clemons-1	14.2 Pts, 2.9 Reb, 3.8 Ast	JR
5	240	Travon Bryant	Long Beach, CA	F	81	travon-bryant-1	8.9 Pts, 5.8 Reb, 1.1 Ast	JR
1	212	Jimmy McKinney	St. Louis, MO	G	75	jimmy-mckinney-1	8.6 Pts, 3.8 Reb, 3.4 Ast	FR
15	199	Josh Kroenke	Columbia, MO	G	76	josh-kroenke-1	3.5 Pts, 2.4 Reb, 1.7 Ast	JR
14	270	Kevin Young		F	81	kevin-young-2	2.3 Pts, 3.2 Reb, 0.3 Ast	FR
55	230	Jeffrey Ferguson		C	82	jeffrey-ferguson-1	1.4 Pts, 2.3 Reb, 0.1 Ast	SO
33	230	Najeeb Echols	Chicago, IL	F	79	najeeb-echols-1	3.1 Pts, 2.8 Reb, 1.1 Ast	SO
24	193	Jake Jackson	Desoto, MO	G	74	jake-jackson-1	0.2 Pts, 0.4 Reb, 0.0 Ast	SR
10	186	Ryan Kiernan	St. Charles, MO	G	72	ryan-kiernan-1	0.0 Pts, 0.5 Reb, 0.0 Ast	SR
2	0	Rob Stewart				rob-stewart-1	0.0 Pts, 0.2 Reb, 0.0 Ast	FR
