number	weight	playerName	hometown	pos	height	playerId	summary	class
3	200	Marcus Banks	Las Vegas, NV	G	74	marcus-banks-1	20.3 Pts, 3.3 Reb, 5.5 Ast	SR
10	215	Dalron Johnson	Los Angeles, CA	F	82	dalron-johnson-1	15.5 Pts, 6.2 Reb, 2.2 Ast	SR
5	200	Jermaine Lewis	Houston, TX	G	76	jermaine-lewis-1	9.5 Pts, 5.0 Reb, 2.2 Ast	SR
5	250	J.K. Edwards	Clemmons, NC	F	80	jk-edwards-1	9.1 Pts, 6.2 Reb, 0.9 Ast	JR
11	215	James Peters	Chicago, IL	F	80	james-peters-1	6.4 Pts, 3.4 Reb, 0.8 Ast	JR
1	205	Demetrius Hunter	Las Vegas, NV	G	74	demetrius-hunter-2	7.2 Pts, 1.5 Reb, 1.1 Ast	JR
14	220	Omari Pearson	Wheaton, IL	F	81	omari-pearson-1	3.7 Pts, 2.4 Reb, 0.2 Ast	JR
3	213	Ernest Turner	Camden, NJ	G	74	ernest-turner-1	2.5 Pts, 0.7 Reb, 0.6 Ast	SO
24	185	Lamar Bigby	Detroit, MI	G	77	lamar-bigby-1	1.6 Pts, 0.9 Reb, 0.5 Ast	SR
44	165	Jon Knoche	Mt. Vernon, IL	G	69	jon-knoche-1	1.1 Pts, 0.3 Reb, 0.8 Ast	SR
2	180	Jon Osborne	Las Vegas, NV	G	74	jon-osborne-1	1.0 Pts, 0.0 Reb, 0.0 Ast	FR
