number	weight	playerName	hometown	pos	height	playerId	summary	class
15	175	Landon Beckwith	Garner, NC	G	74	landon-beckwith-1	12.1 Pts, 2.5 Reb, 1.0 Ast	SR
2	195	Steve Koger	Louisville, KY	G	75	steve-koger-1	12.3 Pts, 2.4 Reb, 1.2 Ast	SO
3	175	Tyrone Green	Washington, NC	G	71	tyrone-green-1	13.2 Pts, 3.3 Reb, 2.9 Ast	FR
10	185	Michael Kirkpatrick		G	71	michael-kirkpatrick-1	7.6 Pts, 1.1 Reb, 1.4 Ast	FR
33	205	Chris Ferguson	Greensboro, NC	G	79	chris-ferguson-3	4.7 Pts, 8.1 Reb, 0.4 Ast	JR
		William Howard		G	77	william-howard-1	3.8 Pts, 4.0 Reb, 0.4 Ast	FR
25	215	Joe Holmes	Charlotte, NC	F	80	joe-holmes-1	8.4 Pts, 4.2 Reb, 0.8 Ast	FR
3	175	Brian Falcoun	Chesapeake, VA	G	70	brian-falcoun-1	4.9 Pts, 1.1 Reb, 2.5 Ast	FR
5	205	Stacey Hollis	Birmingham, AL	G	78	stacey-hollis-1	3.5 Pts, 1.5 Reb, 0.1 Ast	FR
33	210	Adam Hefner	Statesville, NC	F	78	adam-hefner-1	1.5 Pts, 1.5 Reb, 0.2 Ast	SO
1	195	Michael Hayes	Greensboro, NC	G	77	michael-hayes-1	1.9 Pts, 1.6 Reb, 0.1 Ast	FR
12	170	Rechodd Carter	Huntsville, AL	G	75	rechodd-carter-1	0.9 Pts, 1.1 Reb, 1.2 Ast	SO
34	215	Mark Woodhouse				mark-woodhouse-1	1.0 Pts, 0.8 Reb, 0.1 Ast	FR
	265	Abraham Traore		C	83	abraham-traore-1	1.1 Pts, 1.3 Reb, 0.0 Ast	JR
30	250	Sam Holthouser	Statesville, NC	F	81	sam-holthouser-1	0.8 Pts, 0.4 Reb, 0.0 Ast	FR
5	200	Clinton Green	Hillsborough, NC	G	76	clinton-green-1	1.1 Pts, 0.0 Reb, 0.0 Ast	JR
