number	weight	playerName	hometown	pos	height	playerId	summary	class
23	218	Jermaine Wallace	Heflin, LA	G	75	jermaine-wallace-1	11.1 Pts, 3.6 Reb, 1.7 Ast	FR
2	275	Byron Allen	Leland, MS	C	79	byron-allen-1	10.2 Pts, 4.7 Reb, 0.9 Ast	FR
30	219	Clifton Lee	Boyce, LA	F	79	clifton-lee-1	10.4 Pts, 6.2 Reb, 0.9 Ast	FR
3	185	Tyronn Mitchell	New Iberia, LA	G	73	tyronn-mitchell-1	6.9 Pts, 3.9 Reb, 3.3 Ast	FR
1	218	Jermaine Spencer	New Iberia, LA	F	79	jermaine-spencer-1	5.6 Pts, 3.3 Reb, 0.3 Ast	FR
40	222	Alfonso Dyer	Marrero, LA	C	82	alfonso-dyer-1	4.1 Pts, 3.1 Reb, 0.7 Ast	FR
4	155	Stephen Burch	Mansfield, LA	G	74	stephen-burch-1	3.4 Pts, 0.8 Reb, 0.9 Ast	FR
45	205	Tim Van	Crockett, TX	C	82	tim-van-1	3.4 Pts, 3.2 Reb, 0.9 Ast	FR
5	210	Michael Edwards	Rowlett, TX	G	73	michael-edwards-1	2.1 Pts, 0.7 Reb, 0.6 Ast	JR
20	192	D.J. Ross	Boyce, LA	F	74	dj-ross-1	2.1 Pts, 1.4 Reb, 0.5 Ast	SO
33	245	Carl Jones	Humble, TX	C	81	carl-jones-1	1.8 Pts, 1.5 Reb, 0.1 Ast	SO
5	155	Frederico Payne	Shreveport, LA	G	71	frederico-payne-1	1.3 Pts, 0.4 Reb, 0.3 Ast	FR
10	189	Kalen Mahoney	North Hollywood, CA	G	71	kalen-mahoney-1	1.7 Pts, 0.2 Reb, 0.1 Ast	FR
	170	B.J. Netterville	Zachary, LA	G	70	bj-netterville-1	0.0 Pts, 0.0 Reb, 0.0 Ast	SR
